Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,Overtake,PitStop
0 days 00:08:03.752000,GAS,10,0 days 00:01:20.158000,1.0,,0 days 00:00:03.744000,,,0 days 00:00:34.389000,0 days 00:00:23.283000,,0 days 00:07:40.460000,0 days 00:08:03.822000,304.0,215.0,272.0,297.0,False,nan,,True,Toro Rosso,0 days 00:06:43.395000,2018-07-01 13:12:43.611,1,15.0,False,,False,False,0,0
0 days 00:09:16.811000,GAS,10,0 days 00:01:13.059000,2.0,1.0,,,0 days 00:00:17.521000,0 days 00:00:33.053000,0 days 00:00:22.485000,0 days 00:08:21.241000,0 days 00:08:54.294000,0 days 00:09:16.779000,306.0,214.0,271.0,290.0,True,SUPERSOFT,1.0,True,Toro Rosso,0 days 00:08:03.752000,2018-07-01 13:14:03.968,2,14.0,False,,False,True,1,0
0 days 00:10:28.255000,GAS,10,0 days 00:01:11.444000,3.0,1.0,,,0 days 00:00:17.443000,0 days 00:00:31.545000,0 days 00:00:22.456000,0 days 00:09:34.222000,0 days 00:10:05.767000,0 days 00:10:28.223000,314.0,224.0,278.0,308.0,True,SUPERSOFT,2.0,True,Toro Rosso,0 days 00:09:16.811000,2018-07-01 13:15:17.027,1,14.0,False,,False,True,0,0
0 days 00:11:39.420000,GAS,10,0 days 00:01:11.165000,4.0,1.0,,,0 days 00:00:17.161000,0 days 00:00:31.737000,0 days 00:00:22.267000,0 days 00:10:45.384000,0 days 00:11:17.121000,0 days 00:11:39.388000,316.0,227.0,279.0,309.0,True,SUPERSOFT,3.0,True,Toro Rosso,0 days 00:10:28.255000,2018-07-01 13:16:28.471,1,14.0,False,,False,True,0,0
0 days 00:12:51.828000,GAS,10,0 days 00:01:12.408000,5.0,1.0,,,0 days 00:00:17.333000,0 days 00:00:31.559000,0 days 00:00:23.516000,0 days 00:11:56.721000,0 days 00:12:28.280000,0 days 00:12:51.796000,310.0,228.0,256.0,303.0,False,SUPERSOFT,4.0,True,Toro Rosso,0 days 00:11:39.420000,2018-07-01 13:17:39.636,1,15.0,False,,False,True,1,0
0 days 00:14:04.169000,GAS,10,0 days 00:01:12.341000,6.0,1.0,,,0 days 00:00:18.014000,0 days 00:00:32.137000,0 days 00:00:22.190000,0 days 00:13:09.810000,0 days 00:13:41.947000,0 days 00:14:04.137000,311.0,227.0,276.0,306.0,False,SUPERSOFT,5.0,True,Toro Rosso,0 days 00:12:51.828000,2018-07-01 13:18:52.044,1,15.0,False,,False,True,0,0
0 days 00:15:15.183000,GAS,10,0 days 00:01:11.014000,7.0,1.0,,,0 days 00:00:17.401000,0 days 00:00:31.543000,0 days 00:00:22.070000,0 days 00:14:21.538000,0 days 00:14:53.081000,0 days 00:15:15.151000,,229.0,277.0,306.0,True,SUPERSOFT,6.0,True,Toro Rosso,0 days 00:14:04.169000,2018-07-01 13:20:04.385,1,15.0,False,,False,True,0,0
0 days 00:16:26.473000,GAS,10,0 days 00:01:11.290000,8.0,1.0,,,0 days 00:00:17.577000,0 days 00:00:31.645000,0 days 00:00:22.068000,0 days 00:15:32.728000,0 days 00:16:04.373000,0 days 00:16:26.441000,309.0,228.0,279.0,307.0,False,SUPERSOFT,7.0,True,Toro Rosso,0 days 00:15:15.183000,2018-07-01 13:21:15.399,1,15.0,False,,False,True,0,0
0 days 00:17:38.209000,GAS,10,0 days 00:01:11.736000,9.0,1.0,,,0 days 00:00:17.548000,0 days 00:00:32.140000,0 days 00:00:22.048000,0 days 00:16:43.989000,0 days 00:17:16.129000,0 days 00:17:38.177000,323.0,225.0,277.0,301.0,False,SUPERSOFT,8.0,True,Toro Rosso,0 days 00:16:26.473000,2018-07-01 13:22:26.689,1,15.0,False,,False,True,0,0
0 days 00:18:49.378000,GAS,10,0 days 00:01:11.169000,10.0,1.0,,,0 days 00:00:17.453000,0 days 00:00:31.695000,0 days 00:00:22.021000,0 days 00:17:55.630000,0 days 00:18:27.325000,0 days 00:18:49.346000,315.0,223.0,278.0,302.0,False,SUPERSOFT,9.0,True,Toro Rosso,0 days 00:17:38.209000,2018-07-01 13:23:38.425,1,15.0,False,,False,True,0,0
0 days 00:20:00.280000,GAS,10,0 days 00:01:10.902000,11.0,1.0,,,0 days 00:00:17.472000,0 days 00:00:31.442000,0 days 00:00:21.988000,0 days 00:19:06.818000,0 days 00:19:38.260000,0 days 00:20:00.248000,306.0,227.0,279.0,302.0,True,SUPERSOFT,10.0,True,Toro Rosso,0 days 00:18:49.378000,2018-07-01 13:24:49.594,1,15.0,False,,False,True,0,0
0 days 00:21:11.638000,GAS,10,0 days 00:01:11.358000,12.0,1.0,,,0 days 00:00:18.045000,0 days 00:00:31.437000,0 days 00:00:21.876000,0 days 00:20:18.293000,0 days 00:20:49.730000,0 days 00:21:11.606000,320.0,223.0,272.0,310.0,False,SUPERSOFT,11.0,True,Toro Rosso,0 days 00:20:00.280000,2018-07-01 13:26:00.496,2,13.0,False,,False,True,1,0
0 days 00:22:22.465000,GAS,10,0 days 00:01:10.827000,13.0,1.0,,,0 days 00:00:17.695000,0 days 00:00:31.347000,0 days 00:00:21.785000,0 days 00:21:29.301000,0 days 00:22:00.648000,0 days 00:22:22.433000,292.0,222.0,270.0,286.0,True,SUPERSOFT,12.0,True,Toro Rosso,0 days 00:21:11.638000,2018-07-01 13:27:11.854,1,13.0,False,,False,True,0,0
0 days 00:23:37.615000,GAS,10,0 days 00:01:15.150000,14.0,1.0,,,0 days 00:00:17.679000,0 days 00:00:31.094000,0 days 00:00:26.377000,0 days 00:22:40.112000,0 days 00:23:11.206000,0 days 00:23:37.583000,290.0,228.0,215.0,287.0,False,SUPERSOFT,13.0,True,Toro Rosso,0 days 00:22:22.465000,2018-07-01 13:28:22.681,26,12.0,False,,False,False,1,0
0 days 00:25:12.587000,GAS,10,0 days 00:01:34.972000,15.0,1.0,,0 days 00:25:09.232000,0 days 00:00:24.099000,0 days 00:00:40.553000,0 days 00:00:30.320000,0 days 00:24:01.682000,0 days 00:24:42.235000,0 days 00:25:12.555000,238.0,168.0,,189.0,False,SUPERSOFT,14.0,True,Toro Rosso,0 days 00:23:37.615000,2018-07-01 13:29:37.831,6,12.0,False,,False,False,0,1
0 days 00:26:40.377000,GAS,10,0 days 00:01:27.790000,16.0,2.0,0 days 00:25:31.240000,,0 days 00:00:35.473000,0 days 00:00:30.879000,0 days 00:00:21.438000,0 days 00:25:48.028000,0 days 00:26:18.907000,0 days 00:26:40.345000,284.0,229.0,272.0,287.0,False,SOFT,1.0,True,Toro Rosso,0 days 00:25:12.587000,2018-07-01 13:31:12.803,67,15.0,False,,False,False,1,0
0 days 00:27:49.741000,GAS,10,0 days 00:01:09.364000,17.0,2.0,,,0 days 00:00:17.526000,0 days 00:00:30.432000,0 days 00:00:21.406000,0 days 00:26:57.871000,0 days 00:27:28.303000,0 days 00:27:49.709000,295.0,233.0,270.0,291.0,True,SOFT,2.0,True,Toro Rosso,0 days 00:26:40.377000,2018-07-01 13:32:40.593,1,15.0,False,,False,True,0,0
0 days 00:28:59.613000,GAS,10,0 days 00:01:09.872000,18.0,2.0,,,0 days 00:00:17.599000,0 days 00:00:30.793000,0 days 00:00:21.480000,0 days 00:28:07.308000,0 days 00:28:38.101000,0 days 00:28:59.581000,296.0,226.0,273.0,286.0,False,SOFT,3.0,True,Toro Rosso,0 days 00:27:49.741000,2018-07-01 13:33:49.957,1,15.0,False,,False,True,0,0
0 days 00:30:09.626000,GAS,10,0 days 00:01:10.013000,19.0,2.0,,,0 days 00:00:17.608000,0 days 00:00:31.009000,0 days 00:00:21.396000,0 days 00:29:17.189000,0 days 00:29:48.198000,0 days 00:30:09.594000,295.0,231.0,272.0,285.0,False,SOFT,4.0,True,Toro Rosso,0 days 00:28:59.613000,2018-07-01 13:34:59.829,1,15.0,False,,False,True,0,0
0 days 00:31:19.436000,GAS,10,0 days 00:01:09.810000,20.0,2.0,,,0 days 00:00:17.655000,0 days 00:00:30.795000,0 days 00:00:21.360000,0 days 00:30:27.249000,0 days 00:30:58.044000,0 days 00:31:19.404000,,233.0,272.0,291.0,False,SOFT,5.0,True,Toro Rosso,0 days 00:30:09.626000,2018-07-01 13:36:09.842,1,15.0,False,,False,True,0,0
0 days 00:32:29.017000,GAS,10,0 days 00:01:09.581000,21.0,2.0,,,0 days 00:00:17.507000,0 days 00:00:30.656000,0 days 00:00:21.418000,0 days 00:31:36.911000,0 days 00:32:07.567000,0 days 00:32:28.985000,299.0,232.0,273.0,293.0,False,SOFT,6.0,True,Toro Rosso,0 days 00:31:19.436000,2018-07-01 13:37:19.652,1,15.0,False,,False,True,0,0
0 days 00:33:38.959000,GAS,10,0 days 00:01:09.942000,22.0,2.0,,,0 days 00:00:17.538000,0 days 00:00:30.955000,0 days 00:00:21.449000,0 days 00:32:46.523000,0 days 00:33:17.478000,0 days 00:33:38.927000,,231.0,272.0,295.0,False,SOFT,7.0,True,Toro Rosso,0 days 00:32:29.017000,2018-07-01 13:38:29.233,1,15.0,False,,False,True,0,0
0 days 00:34:48.851000,GAS,10,0 days 00:01:09.892000,23.0,2.0,,,0 days 00:00:17.600000,0 days 00:00:30.768000,0 days 00:00:21.524000,0 days 00:33:56.527000,0 days 00:34:27.295000,0 days 00:34:48.819000,297.0,234.0,275.0,295.0,False,SOFT,8.0,True,Toro Rosso,0 days 00:33:38.959000,2018-07-01 13:39:39.175,1,15.0,False,,False,True,0,0
0 days 00:35:58.785000,GAS,10,0 days 00:01:09.934000,24.0,2.0,,,0 days 00:00:17.397000,0 days 00:00:30.850000,0 days 00:00:21.687000,0 days 00:35:06.216000,0 days 00:35:37.066000,0 days 00:35:58.753000,300.0,234.0,280.0,300.0,False,SOFT,9.0,True,Toro Rosso,0 days 00:34:48.851000,2018-07-01 13:40:49.067,1,15.0,False,,False,True,0,0
0 days 00:37:08.780000,GAS,10,0 days 00:01:09.995000,25.0,2.0,,,0 days 00:00:17.078000,0 days 00:00:31.228000,0 days 00:00:21.689000,0 days 00:36:15.831000,0 days 00:36:47.059000,0 days 00:37:08.748000,325.0,230.0,273.0,324.0,False,SOFT,10.0,True,Toro Rosso,0 days 00:35:58.785000,2018-07-01 13:41:59.001,1,13.0,False,,False,True,1,0
0 days 00:38:18.690000,GAS,10,0 days 00:01:09.910000,26.0,2.0,,,0 days 00:00:17.539000,0 days 00:00:30.886000,0 days 00:00:21.485000,0 days 00:37:26.287000,0 days 00:37:57.173000,0 days 00:38:18.658000,297.0,233.0,274.0,296.0,False,SOFT,11.0,True,Toro Rosso,0 days 00:37:08.780000,2018-07-01 13:43:08.996,1,13.0,False,,False,True,0,0
