Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,Overtake,PitStop
0 days 00:10:21.948000,GAS,10,0 days 00:02:39.485000,1.0,,0 days 00:00:04.180000,,,0 days 00:01:09.073000,0 days 00:00:40.816000,,0 days 00:09:41.254000,0 days 00:10:22.026000,180.0,91.0,161.0,178.0,False,nan,,True,Toro Rosso,0 days 00:07:42.253000,2018-04-29 12:13:42.330,24,11.0,False,,False,False,0,0
0 days 00:13:28.592000,GAS,10,,2.0,1.0,,,0 days 00:01:15.053000,0 days 00:01:03.111000,0 days 00:00:48.541000,0 days 00:11:37.067000,0 days 00:12:40.129000,0 days 00:13:28.783000,116.0,91.0,165.0,123.0,False,ULTRASOFT,1.0,True,Toro Rosso,0 days 00:10:21.948000,2018-04-29 12:16:22.025,4,10.0,False,,False,False,1,0
0 days 00:16:05.010000,GAS,10,,3.0,1.0,,,0 days 00:00:56.278000,0 days 00:01:03.176000,0 days 00:00:36.927000,0 days 00:14:25.128000,0 days 00:15:28.161000,0 days 00:16:05.215000,132.0,124.0,244.0,203.0,False,ULTRASOFT,2.0,True,Toro Rosso,0 days 00:13:28.592000,2018-04-29 12:19:28.669,4,10.0,False,,False,False,0,0
0 days 00:18:37.293000,GAS,10,,4.0,1.0,,,0 days 00:00:53.566000,0 days 00:01:02.737000,0 days 00:00:35.980000,0 days 00:16:58.814000,0 days 00:18:01.391000,0 days 00:18:37.467000,111.0,144.0,258.0,215.0,False,ULTRASOFT,3.0,True,Toro Rosso,0 days 00:16:05.010000,2018-04-29 12:22:05.087,4,9.0,False,,False,False,1,0
0 days 00:21:32.616000,GAS,10,,5.0,1.0,,,0 days 00:00:52.571000,0 days 00:01:03.382000,0 days 00:00:59.431000,0 days 00:19:29.998000,0 days 00:20:33.340000,0 days 00:21:33.266000,101.0,107.0,288.0,92.0,False,ULTRASOFT,4.0,True,Toro Rosso,0 days 00:18:37.293000,2018-04-29 12:24:37.370,4,14.0,False,,False,False,1,0
0 days 00:23:30.245000,GAS,10,0 days 00:01:57.629000,6.0,1.0,,,0 days 00:00:43.117000,0 days 00:00:47.916000,0 days 00:00:26.596000,0 days 00:22:15.811000,0 days 00:23:03.727000,0 days 00:23:30.323000,165.0,193.0,311.0,306.0,True,ULTRASOFT,5.0,True,Toro Rosso,0 days 00:21:32.616000,2018-04-29 12:27:32.693,1,10.0,False,,False,False,1,0
0 days 00:25:23.319000,GAS,10,0 days 00:01:53.074000,7.0,1.0,,,0 days 00:00:40.370000,0 days 00:00:46.015000,0 days 00:00:26.689000,0 days 00:24:10.693000,0 days 00:24:56.708000,0 days 00:25:23.397000,187.0,198.0,315.0,301.0,True,ULTRASOFT,6.0,True,Toro Rosso,0 days 00:23:30.245000,2018-04-29 12:29:30.322,1,11.0,False,,False,True,1,0
0 days 00:27:15.647000,GAS,10,0 days 00:01:52.328000,8.0,1.0,,,0 days 00:00:40.317000,0 days 00:00:45.295000,0 days 00:00:26.716000,0 days 00:26:03.714000,0 days 00:26:49.009000,0 days 00:27:15.725000,179.0,202.0,318.0,299.0,True,ULTRASOFT,7.0,True,Toro Rosso,0 days 00:25:23.319000,2018-04-29 12:31:23.396,1,13.0,False,,False,True,1,0
0 days 00:29:08.772000,GAS,10,0 days 00:01:53.125000,9.0,1.0,,,0 days 00:00:41.033000,0 days 00:00:45.174000,0 days 00:00:26.918000,0 days 00:27:56.758000,0 days 00:28:41.932000,0 days 00:29:08.850000,187.0,204.0,305.0,294.0,False,ULTRASOFT,8.0,True,Toro Rosso,0 days 00:27:15.647000,2018-04-29 12:33:15.724,1,15.0,False,,False,True,1,0
0 days 00:31:01.314000,GAS,10,0 days 00:01:52.542000,10.0,1.0,,,0 days 00:00:39.852000,0 days 00:00:45.540000,0 days 00:00:27.150000,0 days 00:29:48.702000,0 days 00:30:34.242000,0 days 00:31:01.392000,188.0,203.0,286.0,300.0,False,ULTRASOFT,9.0,True,Toro Rosso,0 days 00:29:08.772000,2018-04-29 12:35:08.849,2,16.0,False,,False,True,1,0
0 days 00:32:54.376000,GAS,10,0 days 00:01:53.062000,11.0,1.0,,,0 days 00:00:39.961000,0 days 00:00:45.951000,0 days 00:00:27.150000,0 days 00:31:41.353000,0 days 00:32:27.304000,0 days 00:32:54.454000,187.0,198.0,290.0,299.0,False,ULTRASOFT,10.0,True,Toro Rosso,0 days 00:31:01.314000,2018-04-29 12:37:01.391,2,15.0,False,,False,True,1,0
0 days 00:34:50.227000,GAS,10,0 days 00:01:55.851000,12.0,1.0,,0 days 00:34:49.061000,0 days 00:00:39.626000,0 days 00:00:45.343000,0 days 00:00:30.882000,0 days 00:33:34.080000,0 days 00:34:19.423000,0 days 00:34:50.305000,184.0,202.0,,304.0,False,ULTRASOFT,11.0,True,Toro Rosso,0 days 00:32:54.376000,2018-04-29 12:38:54.453,1,17.0,False,,False,False,1,1
0 days 00:36:58.955000,GAS,10,0 days 00:02:08.728000,13.0,2.0,0 days 00:35:09.798000,,0 days 00:00:55.903000,0 days 00:00:45.394000,0 days 00:00:27.431000,0 days 00:35:46.208000,0 days 00:36:31.602000,0 days 00:36:59.033000,190.0,206.0,276.0,296.0,False,SOFT,1.0,True,Toro Rosso,0 days 00:34:50.227000,2018-04-29 12:40:50.304,1,17.0,False,,False,False,0,0
0 days 00:38:49.926000,GAS,10,0 days 00:01:50.971000,14.0,2.0,,,0 days 00:00:39.302000,0 days 00:00:44.415000,0 days 00:00:27.254000,0 days 00:37:38.335000,0 days 00:38:22.750000,0 days 00:38:50.004000,192.0,208.0,278.0,295.0,True,SOFT,2.0,True,Toro Rosso,0 days 00:36:58.955000,2018-04-29 12:42:59.032,2,17.0,False,,False,True,0,0
0 days 00:40:41.135000,GAS,10,0 days 00:01:51.209000,15.0,2.0,,,0 days 00:00:39.405000,0 days 00:00:44.673000,0 days 00:00:27.131000,0 days 00:39:29.409000,0 days 00:40:14.082000,0 days 00:40:41.213000,,207.0,283.0,295.0,False,SOFT,3.0,True,Toro Rosso,0 days 00:38:49.926000,2018-04-29 12:44:50.003,2,17.0,False,,False,True,0,0
0 days 00:42:32.153000,GAS,10,0 days 00:01:51.018000,16.0,2.0,,,0 days 00:00:38.948000,0 days 00:00:44.952000,0 days 00:00:27.118000,0 days 00:41:20.161000,0 days 00:42:05.113000,0 days 00:42:32.231000,197.0,202.0,284.0,297.0,False,SOFT,4.0,True,Toro Rosso,0 days 00:40:41.135000,2018-04-29 12:46:41.212,1,17.0,False,,False,True,0,0
0 days 00:44:22.992000,GAS,10,0 days 00:01:50.839000,17.0,2.0,,,0 days 00:00:39.130000,0 days 00:00:44.692000,0 days 00:00:27.017000,0 days 00:43:11.361000,0 days 00:43:56.053000,0 days 00:44:23.070000,,206.0,284.0,297.0,True,SOFT,5.0,True,Toro Rosso,0 days 00:42:32.153000,2018-04-29 12:48:32.230,1,17.0,False,,False,True,0,0
0 days 00:46:14.701000,GAS,10,0 days 00:01:51.709000,18.0,2.0,,,0 days 00:00:39.493000,0 days 00:00:45.592000,0 days 00:00:26.624000,0 days 00:45:02.563000,0 days 00:45:48.155000,0 days 00:46:14.779000,195.0,192.0,307.0,317.0,False,SOFT,6.0,True,Toro Rosso,0 days 00:44:22.992000,2018-04-29 12:50:23.069,2,17.0,False,,False,True,0,0
