Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,Overtake,PitStop
0 days 00:21:03.948000,VET,5,0 days 00:02:29.572000,1.0,,0 days 00:00:05.934000,0 days 00:21:00.165000,,0 days 00:01:09.227000,0 days 00:00:46.208000,,0 days 00:20:17.740000,0 days 00:21:04.132000,315.0,145.0,,306.0,False,nan,,True,Ferrari,0 days 00:18:34.162000,2018-08-26 13:13:34.188,24,1.0,False,,False,False,0,0
0 days 00:24:03.979000,VET,5,,2.0,,0 days 00:21:19.726000,,0 days 00:00:59.569000,0 days 00:01:15.386000,0 days 00:00:45.096000,0 days 00:22:03.497000,0 days 00:23:18.972000,0 days 00:24:04.100000,204.0,132.0,157.0,167.0,False,nan,,True,Ferrari,0 days 00:21:03.948000,2018-08-26 13:16:03.974,4,1.0,False,,False,False,0,0
0 days 00:26:55.038000,VET,5,,3.0,2.0,,,0 days 00:00:53.832000,0 days 00:01:14.346000,0 days 00:00:42.881000,0 days 00:24:57.887000,0 days 00:26:12.157000,0 days 00:26:55.162000,,161.0,152.0,222.0,False,SUPERSOFT,5.0,False,Ferrari,0 days 00:24:03.979000,2018-08-26 13:19:04.005,4,1.0,False,,False,False,0,0
0 days 00:29:56.542000,VET,5,,4.0,2.0,,,0 days 00:00:50.630000,0 days 00:01:13.585000,0 days 00:00:57.284000,0 days 00:27:45.728000,0 days 00:28:59.322000,0 days 00:29:56.734000,201.0,96.0,224.0,182.0,False,SUPERSOFT,6.0,False,Ferrari,0 days 00:26:55.038000,2018-08-26 13:21:55.064,4,2.0,False,,False,False,1,0
0 days 00:31:45.198000,VET,5,0 days 00:01:48.656000,5.0,2.0,,,0 days 00:00:31.560000,0 days 00:00:47.948000,0 days 00:00:29.148000,0 days 00:30:28.102000,0 days 00:31:16.050000,0 days 00:31:45.198000,311.0,203.0,220.0,303.0,True,SUPERSOFT,7.0,False,Ferrari,0 days 00:29:56.542000,2018-08-26 13:24:56.568,1,1.0,False,,False,False,1,0
0 days 00:33:34.121000,VET,5,0 days 00:01:48.923000,6.0,2.0,,,0 days 00:00:31.706000,0 days 00:00:47.823000,0 days 00:00:29.394000,0 days 00:32:16.904000,0 days 00:33:04.727000,0 days 00:33:34.121000,309.0,199.0,219.0,304.0,False,SUPERSOFT,8.0,False,Ferrari,0 days 00:31:45.198000,2018-08-26 13:26:45.224,1,1.0,False,,False,True,0,0
0 days 00:35:22.816000,VET,5,0 days 00:01:48.695000,7.0,2.0,,,0 days 00:00:31.747000,0 days 00:00:47.660000,0 days 00:00:29.288000,0 days 00:34:05.868000,0 days 00:34:53.528000,0 days 00:35:22.816000,308.0,199.0,218.0,,False,SUPERSOFT,9.0,False,Ferrari,0 days 00:33:34.121000,2018-08-26 13:28:34.147,1,1.0,False,,False,True,0,0
0 days 00:37:11.462000,VET,5,0 days 00:01:48.646000,8.0,2.0,,,0 days 00:00:31.609000,0 days 00:00:47.746000,0 days 00:00:29.291000,0 days 00:35:54.425000,0 days 00:36:42.171000,0 days 00:37:11.462000,309.0,200.0,218.0,,True,SUPERSOFT,10.0,False,Ferrari,0 days 00:35:22.816000,2018-08-26 13:30:22.842,1,1.0,False,,False,True,0,0
0 days 00:39:00.508000,VET,5,0 days 00:01:49.046000,9.0,2.0,,,0 days 00:00:31.690000,0 days 00:00:47.915000,0 days 00:00:29.441000,0 days 00:37:43.152000,0 days 00:38:31.067000,0 days 00:39:00.508000,,200.0,217.0,306.0,False,SUPERSOFT,11.0,False,Ferrari,0 days 00:37:11.462000,2018-08-26 13:32:11.488,1,1.0,False,,False,True,0,0
0 days 00:40:49.257000,VET,5,0 days 00:01:48.749000,10.0,2.0,,,0 days 00:00:31.662000,0 days 00:00:47.794000,0 days 00:00:29.293000,0 days 00:39:32.170000,0 days 00:40:19.964000,0 days 00:40:49.257000,311.0,198.0,218.0,307.0,False,SUPERSOFT,12.0,False,Ferrari,0 days 00:39:00.508000,2018-08-26 13:34:00.534,1,1.0,False,,False,True,0,0
0 days 00:42:37.752000,VET,5,0 days 00:01:48.495000,11.0,2.0,,,0 days 00:00:31.643000,0 days 00:00:47.665000,0 days 00:00:29.187000,0 days 00:41:20.900000,0 days 00:42:08.565000,0 days 00:42:37.752000,,201.0,217.0,306.0,True,SUPERSOFT,13.0,False,Ferrari,0 days 00:40:49.257000,2018-08-26 13:35:49.283,1,1.0,False,,False,True,0,0
0 days 00:44:26.415000,VET,5,0 days 00:01:48.663000,12.0,2.0,,,0 days 00:00:31.555000,0 days 00:00:47.841000,0 days 00:00:29.267000,0 days 00:43:09.307000,0 days 00:43:57.148000,0 days 00:44:26.415000,313.0,200.0,218.0,,False,SUPERSOFT,14.0,False,Ferrari,0 days 00:42:37.752000,2018-08-26 13:37:37.778,1,1.0,False,,False,True,0,0
0 days 00:46:15.147000,VET,5,0 days 00:01:48.732000,13.0,2.0,,,0 days 00:00:31.568000,0 days 00:00:47.809000,0 days 00:00:29.355000,0 days 00:44:57.983000,0 days 00:45:45.792000,0 days 00:46:15.147000,311.0,197.0,217.0,305.0,False,SUPERSOFT,15.0,False,Ferrari,0 days 00:44:26.415000,2018-08-26 13:39:26.441,1,1.0,False,,False,True,0,0
0 days 00:48:03.895000,VET,5,0 days 00:01:48.748000,14.0,2.0,,,0 days 00:00:31.700000,0 days 00:00:47.753000,0 days 00:00:29.295000,0 days 00:46:46.847000,0 days 00:47:34.600000,0 days 00:48:03.895000,312.0,199.0,219.0,,False,SUPERSOFT,16.0,False,Ferrari,0 days 00:46:15.147000,2018-08-26 13:41:15.173,1,1.0,False,,False,True,0,0
0 days 00:49:52.574000,VET,5,0 days 00:01:48.679000,15.0,2.0,,,0 days 00:00:31.722000,0 days 00:00:47.694000,0 days 00:00:29.263000,0 days 00:48:35.617000,0 days 00:49:23.311000,0 days 00:49:52.574000,311.0,197.0,220.0,,False,SUPERSOFT,17.0,False,Ferrari,0 days 00:48:03.895000,2018-08-26 13:43:03.921,1,1.0,False,,False,True,0,0
0 days 00:51:40.973000,VET,5,0 days 00:01:48.399000,16.0,2.0,,,0 days 00:00:31.517000,0 days 00:00:47.604000,0 days 00:00:29.278000,0 days 00:50:24.091000,0 days 00:51:11.695000,0 days 00:51:40.973000,313.0,198.0,218.0,306.0,True,SUPERSOFT,18.0,False,Ferrari,0 days 00:49:52.574000,2018-08-26 13:44:52.600,1,1.0,False,,False,True,0,0
0 days 00:53:29.640000,VET,5,0 days 00:01:48.667000,17.0,2.0,,,0 days 00:00:31.702000,0 days 00:00:47.632000,0 days 00:00:29.333000,0 days 00:52:12.675000,0 days 00:53:00.307000,0 days 00:53:29.640000,312.0,199.0,218.0,305.0,False,SUPERSOFT,19.0,False,Ferrari,0 days 00:51:40.973000,2018-08-26 13:46:40.999,1,1.0,False,,False,True,0,0
0 days 00:55:18.240000,VET,5,0 days 00:01:48.600000,18.0,2.0,,,0 days 00:00:31.548000,0 days 00:00:47.848000,0 days 00:00:29.204000,0 days 00:54:01.188000,0 days 00:54:49.036000,0 days 00:55:18.240000,,197.0,219.0,307.0,False,SUPERSOFT,20.0,False,Ferrari,0 days 00:53:29.640000,2018-08-26 13:48:29.666,1,1.0,False,,False,True,0,0
0 days 00:57:07.173000,VET,5,0 days 00:01:48.933000,19.0,2.0,,,0 days 00:00:31.682000,0 days 00:00:48.015000,0 days 00:00:29.236000,0 days 00:55:49.922000,0 days 00:56:37.937000,0 days 00:57:07.173000,308.0,196.0,219.0,305.0,False,SUPERSOFT,21.0,False,Ferrari,0 days 00:55:18.240000,2018-08-26 13:50:18.266,1,1.0,False,,False,True,0,0
0 days 00:58:55.954000,VET,5,0 days 00:01:48.781000,20.0,2.0,,,0 days 00:00:31.581000,0 days 00:00:47.934000,0 days 00:00:29.266000,0 days 00:57:38.754000,0 days 00:58:26.688000,0 days 00:58:55.954000,311.0,197.0,220.0,307.0,False,SUPERSOFT,22.0,False,Ferrari,0 days 00:57:07.173000,2018-08-26 13:52:07.199,1,1.0,False,,False,True,0,0
