Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,Overtake,PitStop
0 days 00:09:03.865000,GAS,10,0 days 00:01:46.132000,1.0,,0 days 00:00:01.499000,,,0 days 00:00:42.041000,0 days 00:00:27.412000,,0 days 00:08:36.470000,0 days 00:09:03.938000,287.0,246.0,236.0,292.0,False,nan,,True,Toro Rosso,0 days 00:07:17.544000,2018-07-08 13:13:17.555,2,12.0,False,,False,False,0,0
0 days 00:10:41.021000,GAS,10,0 days 00:01:37.156000,2.0,1.0,,,0 days 00:00:30.678000,0 days 00:00:39.770000,0 days 00:00:26.708000,0 days 00:09:34.530000,0 days 00:10:14.300000,0 days 00:10:41.008000,286.0,248.0,242.0,293.0,True,SOFT,1.0,True,Toro Rosso,0 days 00:09:03.865000,2018-07-08 13:15:03.876,2,12.0,False,,False,True,0,0
0 days 00:12:17.073000,GAS,10,0 days 00:01:36.052000,3.0,1.0,,,0 days 00:00:30.272000,0 days 00:00:39.437000,0 days 00:00:26.343000,0 days 00:11:11.280000,0 days 00:11:50.717000,0 days 00:12:17.060000,300.0,249.0,243.0,298.0,True,SOFT,2.0,True,Toro Rosso,0 days 00:10:41.021000,2018-07-08 13:16:41.032,2,12.0,False,,False,True,0,0
0 days 00:13:53.182000,GAS,10,0 days 00:01:36.109000,4.0,1.0,,,0 days 00:00:30.484000,0 days 00:00:39.121000,0 days 00:00:26.504000,0 days 00:12:47.544000,0 days 00:13:26.665000,0 days 00:13:53.169000,284.0,248.0,242.0,297.0,False,SOFT,3.0,True,Toro Rosso,0 days 00:12:17.073000,2018-07-08 13:18:17.084,1,12.0,False,,False,True,0,0
0 days 00:15:30.157000,GAS,10,0 days 00:01:36.975000,5.0,1.0,,,0 days 00:00:30.887000,0 days 00:00:39.663000,0 days 00:00:26.425000,0 days 00:14:24.056000,0 days 00:15:03.719000,0 days 00:15:30.144000,310.0,247.0,242.0,314.0,False,SOFT,4.0,True,Toro Rosso,0 days 00:13:53.182000,2018-07-08 13:19:53.193,1,13.0,False,,False,True,1,0
0 days 00:17:06.275000,GAS,10,0 days 00:01:36.118000,6.0,1.0,,,0 days 00:00:30.438000,0 days 00:00:39.386000,0 days 00:00:26.294000,0 days 00:16:00.582000,0 days 00:16:39.968000,0 days 00:17:06.262000,300.0,250.0,242.0,313.0,False,SOFT,5.0,True,Toro Rosso,0 days 00:15:30.157000,2018-07-08 13:21:30.168,1,13.0,False,,False,True,0,0
0 days 00:18:42.507000,GAS,10,0 days 00:01:36.232000,7.0,1.0,,,0 days 00:00:30.478000,0 days 00:00:39.299000,0 days 00:00:26.455000,0 days 00:17:36.740000,0 days 00:18:16.039000,0 days 00:18:42.494000,299.0,248.0,241.0,297.0,False,SOFT,6.0,True,Toro Rosso,0 days 00:17:06.275000,2018-07-08 13:23:06.286,1,13.0,False,,False,True,0,0
0 days 00:20:18.486000,GAS,10,0 days 00:01:35.979000,8.0,1.0,,,0 days 00:00:30.544000,0 days 00:00:39.151000,0 days 00:00:26.284000,0 days 00:19:13.038000,0 days 00:19:52.189000,0 days 00:20:18.473000,286.0,246.0,242.0,295.0,True,SOFT,7.0,True,Toro Rosso,0 days 00:18:42.507000,2018-07-08 13:24:42.518,1,13.0,False,,False,True,0,0
0 days 00:21:54.478000,GAS,10,0 days 00:01:35.992000,9.0,1.0,,,0 days 00:00:30.473000,0 days 00:00:39.316000,0 days 00:00:26.203000,0 days 00:20:48.946000,0 days 00:21:28.262000,0 days 00:21:54.465000,287.0,246.0,242.0,297.0,False,SOFT,8.0,True,Toro Rosso,0 days 00:20:18.486000,2018-07-08 13:26:18.497,1,13.0,False,,False,True,0,0
0 days 00:23:30.623000,GAS,10,0 days 00:01:36.145000,10.0,1.0,,,0 days 00:00:30.562000,0 days 00:00:39.331000,0 days 00:00:26.252000,0 days 00:22:25.027000,0 days 00:23:04.358000,0 days 00:23:30.610000,282.0,246.0,243.0,292.0,False,SOFT,9.0,True,Toro Rosso,0 days 00:21:54.478000,2018-07-08 13:27:54.489,1,13.0,False,,False,True,0,0
