Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,Overtake,PitStop
0 days 00:09:05.004000,GAS,10,0 days 00:02:07.960000,1.0,,0 days 00:00:02.456000,,,0 days 00:00:46.776000,0 days 00:00:48.696000,,0 days 00:08:16.360000,0 days 00:09:05.146000,217.0,87.0,251.0,211.0,False,nan,,True,Toro Rosso,0 days 00:06:56.859000,2018-06-10 18:12:56.924,24,15.0,False,,False,False,0,0
0 days 00:11:10.071000,GAS,10,0 days 00:02:05.067000,2.0,1.0,,,0 days 00:00:32.207000,0 days 00:00:46.572000,0 days 00:00:46.288000,0 days 00:09:37.200000,0 days 00:10:23.772000,0 days 00:11:10.060000,29.0,221.0,235.0,186.0,True,HYPERSOFT,1.0,True,Toro Rosso,0 days 00:09:05.004000,2018-06-10 18:15:05.069,4,16.0,False,,False,False,1,0
0 days 00:13:12.103000,GAS,10,0 days 00:02:02.032000,3.0,1.0,,,0 days 00:00:40.685000,0 days 00:00:37.750000,0 days 00:00:43.597000,0 days 00:11:50.745000,0 days 00:12:28.495000,0 days 00:13:12.092000,41.0,150.0,208.0,213.0,True,HYPERSOFT,2.0,True,Toro Rosso,0 days 00:11:10.071000,2018-06-10 18:17:10.136,4,16.0,False,,False,False,0,0
0 days 00:15:06.389000,GAS,10,0 days 00:01:54.286000,4.0,1.0,,,0 days 00:00:36.619000,0 days 00:00:38.759000,0 days 00:00:38.908000,0 days 00:13:48.711000,0 days 00:14:27.470000,0 days 00:15:06.378000,76.0,114.0,288.0,274.0,True,HYPERSOFT,3.0,True,Toro Rosso,0 days 00:13:12.103000,2018-06-10 18:19:12.168,4,16.0,False,,False,False,0,0
0 days 00:16:27.724000,GAS,10,0 days 00:01:21.335000,5.0,1.0,,,0 days 00:00:24.427000,0 days 00:00:25.988000,0 days 00:00:30.920000,0 days 00:15:30.805000,0 days 00:15:56.793000,0 days 00:16:27.713000,219.0,282.0,283.0,324.0,True,HYPERSOFT,4.0,True,Toro Rosso,0 days 00:15:06.389000,2018-06-10 18:21:06.454,1,14.0,False,,False,False,1,0
0 days 00:17:46.108000,GAS,10,0 days 00:01:18.384000,6.0,1.0,,,0 days 00:00:22.113000,0 days 00:00:25.238000,0 days 00:00:31.033000,0 days 00:16:49.826000,0 days 00:17:15.064000,0 days 00:17:46.097000,249.0,280.0,284.0,317.0,True,HYPERSOFT,5.0,True,Toro Rosso,0 days 00:16:27.724000,2018-06-10 18:22:27.789,1,14.0,False,,False,True,0,0
0 days 00:19:03.981000,GAS,10,0 days 00:01:17.873000,7.0,1.0,,,0 days 00:00:21.946000,0 days 00:00:25.013000,0 days 00:00:30.914000,0 days 00:18:08.043000,0 days 00:18:33.056000,0 days 00:19:03.970000,252.0,280.0,293.0,334.0,True,HYPERSOFT,6.0,True,Toro Rosso,0 days 00:17:46.108000,2018-06-10 18:23:46.173,1,14.0,False,,False,True,0,0
0 days 00:20:22.148000,GAS,10,0 days 00:01:18.167000,8.0,1.0,,,0 days 00:00:21.929000,0 days 00:00:25.013000,0 days 00:00:31.225000,0 days 00:19:25.899000,0 days 00:19:50.912000,0 days 00:20:22.137000,,279.0,291.0,327.0,False,HYPERSOFT,7.0,True,Toro Rosso,0 days 00:19:03.981000,2018-06-10 18:25:04.046,1,14.0,False,,False,True,0,0
0 days 00:21:39.504000,GAS,10,0 days 00:01:17.356000,9.0,1.0,,,0 days 00:00:22.055000,0 days 00:00:25.044000,0 days 00:00:30.257000,0 days 00:20:44.192000,0 days 00:21:09.236000,0 days 00:21:39.493000,,278.0,290.0,333.0,True,HYPERSOFT,8.0,True,Toro Rosso,0 days 00:20:22.148000,2018-06-10 18:26:22.213,1,13.0,False,,False,True,1,0
0 days 00:22:57.668000,GAS,10,0 days 00:01:18.164000,10.0,1.0,,,0 days 00:00:22.243000,0 days 00:00:24.966000,0 days 00:00:30.955000,0 days 00:22:01.736000,0 days 00:22:26.702000,0 days 00:22:57.657000,251.0,276.0,286.0,317.0,False,HYPERSOFT,9.0,True,Toro Rosso,0 days 00:21:39.504000,2018-06-10 18:27:39.569,1,13.0,False,,False,True,0,0
0 days 00:24:15.366000,GAS,10,0 days 00:01:17.698000,11.0,1.0,,,0 days 00:00:21.803000,0 days 00:00:24.924000,0 days 00:00:30.971000,0 days 00:23:19.460000,0 days 00:23:44.384000,0 days 00:24:15.355000,245.0,281.0,285.0,316.0,False,HYPERSOFT,10.0,True,Toro Rosso,0 days 00:22:57.668000,2018-06-10 18:28:57.733,1,12.0,False,,False,True,1,0
0 days 00:25:32.911000,GAS,10,0 days 00:01:17.545000,12.0,1.0,,,0 days 00:00:21.898000,0 days 00:00:24.828000,0 days 00:00:30.819000,0 days 00:24:37.253000,0 days 00:25:02.081000,0 days 00:25:32.900000,,280.0,287.0,319.0,False,HYPERSOFT,11.0,True,Toro Rosso,0 days 00:24:15.366000,2018-06-10 18:30:15.431,1,12.0,False,,False,True,0,0
0 days 00:26:50.411000,GAS,10,0 days 00:01:17.500000,13.0,1.0,,,0 days 00:00:21.901000,0 days 00:00:24.734000,0 days 00:00:30.865000,0 days 00:25:54.801000,0 days 00:26:19.535000,0 days 00:26:50.400000,246.0,280.0,284.0,317.0,False,HYPERSOFT,12.0,True,Toro Rosso,0 days 00:25:32.911000,2018-06-10 18:31:32.976,1,11.0,False,,False,True,1,0
0 days 00:28:07.744000,GAS,10,0 days 00:01:17.333000,14.0,1.0,,,0 days 00:00:21.652000,0 days 00:00:24.801000,0 days 00:00:30.880000,0 days 00:27:12.052000,0 days 00:27:36.853000,0 days 00:28:07.733000,,281.0,287.0,325.0,True,HYPERSOFT,13.0,True,Toro Rosso,0 days 00:26:50.411000,2018-06-10 18:32:50.476,1,10.0,False,,False,True,1,0
0 days 00:29:25.768000,GAS,10,0 days 00:01:18.024000,15.0,1.0,,,0 days 00:00:22.100000,0 days 00:00:24.967000,0 days 00:00:30.957000,0 days 00:28:29.833000,0 days 00:28:54.800000,0 days 00:29:25.757000,242.0,280.0,281.0,310.0,False,HYPERSOFT,14.0,True,Toro Rosso,0 days 00:28:07.744000,2018-06-10 18:34:07.809,1,10.0,False,,False,True,0,0
0 days 00:30:43.103000,GAS,10,0 days 00:01:17.335000,16.0,1.0,,,0 days 00:00:21.617000,0 days 00:00:24.776000,0 days 00:00:30.942000,0 days 00:29:47.374000,0 days 00:30:12.150000,0 days 00:30:43.092000,245.0,281.0,280.0,310.0,False,HYPERSOFT,15.0,True,Toro Rosso,0 days 00:29:25.768000,2018-06-10 18:35:25.833,1,9.0,False,,False,True,1,0
0 days 00:32:00.480000,GAS,10,0 days 00:01:17.377000,17.0,1.0,,,0 days 00:00:21.791000,0 days 00:00:24.864000,0 days 00:00:30.722000,0 days 00:31:04.883000,0 days 00:31:29.747000,0 days 00:32:00.469000,246.0,280.0,283.0,314.0,False,HYPERSOFT,16.0,True,Toro Rosso,0 days 00:30:43.103000,2018-06-10 18:36:43.168,1,9.0,False,,False,True,0,0
0 days 00:33:17.515000,GAS,10,0 days 00:01:17.035000,18.0,1.0,,,0 days 00:00:21.572000,0 days 00:00:24.724000,0 days 00:00:30.739000,0 days 00:32:22.041000,0 days 00:32:46.765000,0 days 00:33:17.504000,247.0,282.0,279.0,315.0,True,HYPERSOFT,17.0,True,Toro Rosso,0 days 00:32:00.480000,2018-06-10 18:38:00.545,1,8.0,False,,False,True,1,0
0 days 00:34:34.733000,GAS,10,0 days 00:01:17.218000,19.0,1.0,,,0 days 00:00:21.543000,0 days 00:00:24.724000,0 days 00:00:30.951000,0 days 00:33:39.047000,0 days 00:34:03.771000,0 days 00:34:34.722000,246.0,279.0,279.0,309.0,False,HYPERSOFT,18.0,True,Toro Rosso,0 days 00:33:17.515000,2018-06-10 18:39:17.580,1,7.0,False,,False,True,1,0
0 days 00:35:51.725000,GAS,10,0 days 00:01:16.992000,20.0,1.0,,,0 days 00:00:21.462000,0 days 00:00:24.702000,0 days 00:00:30.828000,0 days 00:34:56.184000,0 days 00:35:20.886000,0 days 00:35:51.714000,247.0,276.0,278.0,305.0,True,HYPERSOFT,19.0,True,Toro Rosso,0 days 00:34:34.733000,2018-06-10 18:40:34.798,1,7.0,False,,False,True,0,0
0 days 00:37:08.636000,GAS,10,0 days 00:01:16.911000,21.0,1.0,,,0 days 00:00:21.382000,0 days 00:00:24.651000,0 days 00:00:30.878000,0 days 00:36:13.096000,0 days 00:36:37.747000,0 days 00:37:08.625000,245.0,277.0,278.0,305.0,True,HYPERSOFT,20.0,True,Toro Rosso,0 days 00:35:51.725000,2018-06-10 18:41:51.790,1,7.0,False,,False,True,0,0
0 days 00:38:25.778000,GAS,10,0 days 00:01:17.142000,22.0,1.0,,,0 days 00:00:21.557000,0 days 00:00:24.665000,0 days 00:00:30.920000,0 days 00:37:30.182000,0 days 00:37:54.847000,0 days 00:38:25.767000,,276.0,278.0,305.0,False,HYPERSOFT,21.0,True,Toro Rosso,0 days 00:37:08.636000,2018-06-10 18:43:08.701,1,7.0,False,,False,True,0,0
0 days 00:39:59.351000,GAS,10,0 days 00:01:33.573000,23.0,1.0,,0 days 00:39:36.708000,0 days 00:00:21.518000,0 days 00:00:24.644000,0 days 00:00:47.411000,0 days 00:38:47.285000,0 days 00:39:11.929000,0 days 00:39:59.340000,246.0,276.0,,304.0,False,HYPERSOFT,22.0,True,Toro Rosso,0 days 00:38:25.778000,2018-06-10 18:44:25.843,1,13.0,False,,False,False,1,1
0 days 00:41:18.353000,GAS,10,0 days 00:01:19.002000,24.0,2.0,0 days 00:40:00.820000,,0 days 00:00:23.584000,0 days 00:00:24.712000,0 days 00:00:30.706000,0 days 00:40:22.924000,0 days 00:40:47.636000,0 days 00:41:18.342000,247.0,280.0,282.0,312.0,False,SUPERSOFT,1.0,True,Toro Rosso,0 days 00:39:59.351000,2018-06-10 18:45:59.416,1,14.0,False,,False,False,1,0
