Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,Overtake,PitStop
0 days 00:09:36.099000,GAS,10,,0.0,1.0,,,,,,,,,,,,,False,SUPERSOFT,1.0,True,Toro Rosso,0 days 00:07:26.483000,2018-06-24 14:13:26.509,24,2.0,False,,True,False,0,0
0 days 00:09:45.557000,PER,11,0 days 00:02:18.853000,1.0,,0 days 00:00:08.014000,,,0 days 00:00:48.892000,0 days 00:00:55.186000,,0 days 00:08:50.379000,0 days 00:09:45.594000,100.0,118.0,192.0,87.0,False,nan,,True,Force India,0 days 00:07:26.483000,2018-06-24 14:13:26.509,24,9.0,False,,False,False,1,0
0 days 00:12:26.368000,PER,11,,2.0,1.0,,,0 days 00:00:50.570000,0 days 00:00:42.611000,0 days 00:01:07.715000,0 days 00:10:36.088000,0 days 00:11:18.684000,0 days 00:12:26.495000,82.0,229.0,247.0,230.0,False,SOFT,1.0,True,Force India,0 days 00:09:45.557000,2018-06-24 14:15:45.583,4,11.0,False,,False,False,1,0
0 days 00:14:53.945000,PER,11,0 days 00:02:27.577000,3.0,1.0,,,0 days 00:00:41.122000,0 days 00:00:43.237000,0 days 00:01:03.218000,0 days 00:13:07.498000,0 days 00:13:50.735000,0 days 00:14:53.953000,98.0,254.0,251.0,215.0,True,SOFT,2.0,True,Force India,0 days 00:12:26.368000,2018-06-24 14:18:26.394,4,11.0,False,,False,False,0,0
0 days 00:17:23.365000,PER,11,0 days 00:02:29.420000,4.0,1.0,,,0 days 00:00:37.939000,0 days 00:00:41.167000,0 days 00:01:10.314000,0 days 00:15:31.892000,0 days 00:16:13.059000,0 days 00:17:23.373000,99.0,214.0,247.0,223.0,False,SOFT,3.0,True,Force India,0 days 00:14:53.945000,2018-06-24 14:20:53.971,4,11.0,False,,False,False,0,0
0 days 00:19:41.851000,PER,11,0 days 00:02:18.486000,5.0,1.0,,,0 days 00:00:32.836000,0 days 00:00:45.189000,0 days 00:01:00.461000,0 days 00:17:56.209000,0 days 00:18:41.398000,0 days 00:19:41.859000,94.0,124.0,297.0,198.0,True,SOFT,4.0,True,Force India,0 days 00:17:23.365000,2018-06-24 14:23:23.391,4,11.0,False,,False,False,0,0
0 days 00:21:22.693000,PER,11,0 days 00:01:40.842000,6.0,1.0,,,0 days 00:00:25.773000,0 days 00:00:30.367000,0 days 00:00:44.702000,0 days 00:20:07.632000,0 days 00:20:37.999000,0 days 00:21:22.701000,107.0,281.0,295.0,283.0,True,SOFT,5.0,True,Force India,0 days 00:19:41.851000,2018-06-24 14:25:41.877,2,11.0,False,,False,False,0,0
0 days 00:23:04.282000,PER,11,0 days 00:01:41.589000,7.0,1.0,,,0 days 00:00:26.155000,0 days 00:00:30.632000,0 days 00:00:44.802000,0 days 00:21:48.856000,0 days 00:22:19.488000,0 days 00:23:04.290000,108.0,282.0,293.0,303.0,False,SOFT,6.0,True,Force India,0 days 00:21:22.693000,2018-06-24 14:27:22.719,1,11.0,False,,False,True,0,0
0 days 00:24:43.776000,PER,11,0 days 00:01:39.494000,8.0,1.0,,,0 days 00:00:25.318000,0 days 00:00:29.951000,0 days 00:00:44.225000,0 days 00:23:29.608000,0 days 00:23:59.559000,0 days 00:24:43.784000,110.0,280.0,294.0,310.0,True,SOFT,7.0,True,Force India,0 days 00:23:04.282000,2018-06-24 14:29:04.308,1,11.0,False,,False,True,0,0
0 days 00:26:23.141000,PER,11,0 days 00:01:39.365000,9.0,1.0,,,0 days 00:00:25.067000,0 days 00:00:29.947000,0 days 00:00:44.351000,0 days 00:25:08.851000,0 days 00:25:38.798000,0 days 00:26:23.149000,108.0,279.0,293.0,306.0,True,SOFT,8.0,True,Force India,0 days 00:24:43.776000,2018-06-24 14:30:43.802,1,11.0,False,,False,True,0,0
0 days 00:28:03.064000,PER,11,0 days 00:01:39.923000,10.0,1.0,,,0 days 00:00:25.188000,0 days 00:00:30.373000,0 days 00:00:44.362000,0 days 00:26:48.337000,0 days 00:27:18.710000,0 days 00:28:03.072000,107.0,278.0,291.0,302.0,False,SOFT,9.0,True,Force India,0 days 00:26:23.141000,2018-06-24 14:32:23.167,1,11.0,False,,False,True,0,0
0 days 00:29:43.119000,PER,11,0 days 00:01:40.055000,11.0,1.0,,,0 days 00:00:25.414000,0 days 00:00:30.144000,0 days 00:00:44.497000,0 days 00:28:28.486000,0 days 00:28:58.630000,0 days 00:29:43.127000,108.0,278.0,293.0,305.0,False,SOFT,10.0,True,Force India,0 days 00:28:03.064000,2018-06-24 14:34:03.090,1,11.0,False,,False,True,0,0
0 days 00:31:23.110000,PER,11,0 days 00:01:39.991000,12.0,1.0,,,0 days 00:00:25.372000,0 days 00:00:30.170000,0 days 00:00:44.449000,0 days 00:30:08.499000,0 days 00:30:38.669000,0 days 00:31:23.118000,106.0,279.0,292.0,317.0,False,SOFT,11.0,True,Force India,0 days 00:29:43.119000,2018-06-24 14:35:43.145,1,11.0,False,,False,True,0,0
0 days 00:33:03.541000,PER,11,0 days 00:01:40.431000,13.0,1.0,,,0 days 00:00:25.274000,0 days 00:00:30.660000,0 days 00:00:44.497000,0 days 00:31:48.392000,0 days 00:32:19.052000,0 days 00:33:03.549000,107.0,284.0,295.0,315.0,False,SOFT,12.0,True,Force India,0 days 00:31:23.110000,2018-06-24 14:37:23.136,1,11.0,False,,False,True,0,0
0 days 00:34:44.127000,PER,11,0 days 00:01:40.586000,14.0,1.0,,,0 days 00:00:25.354000,0 days 00:00:30.641000,0 days 00:00:44.591000,0 days 00:33:28.903000,0 days 00:33:59.544000,0 days 00:34:44.135000,109.0,281.0,292.0,314.0,False,SOFT,13.0,True,Force India,0 days 00:33:03.541000,2018-06-24 14:39:03.567,1,12.0,False,,False,True,1,0
0 days 00:36:25.590000,PER,11,0 days 00:01:41.463000,15.0,1.0,,,0 days 00:00:26.897000,0 days 00:00:30.300000,0 days 00:00:44.266000,0 days 00:35:11.032000,0 days 00:35:41.332000,0 days 00:36:25.598000,108.0,280.0,292.0,321.0,False,SOFT,14.0,True,Force India,0 days 00:34:44.127000,2018-06-24 14:40:44.153,1,13.0,False,,False,True,1,0
0 days 00:38:04.629000,PER,11,0 days 00:01:39.039000,16.0,1.0,,,0 days 00:00:25.109000,0 days 00:00:30.109000,0 days 00:00:43.821000,0 days 00:36:50.707000,0 days 00:37:20.816000,0 days 00:38:04.637000,107.0,278.0,291.0,301.0,True,SOFT,15.0,True,Force India,0 days 00:36:25.590000,2018-06-24 14:42:25.616,1,13.0,False,,False,True,0,0
0 days 00:39:43.477000,PER,11,0 days 00:01:38.848000,17.0,1.0,,,0 days 00:00:24.994000,0 days 00:00:29.970000,0 days 00:00:43.884000,0 days 00:38:29.631000,0 days 00:38:59.601000,0 days 00:39:43.485000,111.0,278.0,290.0,307.0,True,SOFT,16.0,True,Force India,0 days 00:38:04.629000,2018-06-24 14:44:04.655,1,13.0,False,,False,True,0,0
0 days 00:41:22.238000,PER,11,0 days 00:01:38.761000,18.0,1.0,,,0 days 00:00:25.051000,0 days 00:00:30.072000,0 days 00:00:43.638000,0 days 00:40:08.536000,0 days 00:40:38.608000,0 days 00:41:22.246000,109.0,278.0,291.0,302.0,True,SOFT,17.0,True,Force India,0 days 00:39:43.477000,2018-06-24 14:45:43.503,1,13.0,False,,False,True,0,0
0 days 00:43:00.850000,PER,11,0 days 00:01:38.612000,19.0,1.0,,,0 days 00:00:25.008000,0 days 00:00:29.987000,0 days 00:00:43.617000,0 days 00:41:47.254000,0 days 00:42:17.241000,0 days 00:43:00.858000,107.0,279.0,293.0,306.0,True,SOFT,18.0,True,Force India,0 days 00:41:22.238000,2018-06-24 14:47:22.264,1,13.0,False,,False,True,0,0
0 days 00:44:39.746000,PER,11,0 days 00:01:38.896000,20.0,1.0,,,0 days 00:00:25.012000,0 days 00:00:29.996000,0 days 00:00:43.888000,0 days 00:43:25.870000,0 days 00:43:55.866000,0 days 00:44:39.754000,109.0,282.0,291.0,316.0,False,SOFT,19.0,True,Force India,0 days 00:43:00.850000,2018-06-24 14:49:00.876,1,13.0,False,,False,True,0,0
0 days 00:46:18.442000,PER,11,0 days 00:01:38.696000,21.0,1.0,,,0 days 00:00:24.942000,0 days 00:00:30.053000,0 days 00:00:43.701000,0 days 00:45:04.696000,0 days 00:45:34.749000,0 days 00:46:18.450000,,280.0,291.0,316.0,False,SOFT,20.0,True,Force India,0 days 00:44:39.746000,2018-06-24 14:50:39.772,1,13.0,False,,False,True,0,0
0 days 00:47:57.172000,PER,11,0 days 00:01:38.730000,22.0,1.0,,,0 days 00:00:25.076000,0 days 00:00:29.866000,0 days 00:00:43.788000,0 days 00:46:43.526000,0 days 00:47:13.392000,0 days 00:47:57.180000,107.0,282.0,292.0,304.0,False,SOFT,21.0,True,Force India,0 days 00:46:18.442000,2018-06-24 14:52:18.468,1,13.0,False,,False,True,0,0
0 days 00:49:35.686000,PER,11,0 days 00:01:38.514000,23.0,1.0,,,0 days 00:00:24.937000,0 days 00:00:29.929000,0 days 00:00:43.648000,0 days 00:48:22.117000,0 days 00:48:52.046000,0 days 00:49:35.694000,,279.0,292.0,306.0,True,SOFT,22.0,True,Force India,0 days 00:47:57.172000,2018-06-24 14:53:57.198,1,13.0,False,,False,True,0,0
0 days 00:51:14.541000,PER,11,0 days 00:01:38.855000,24.0,1.0,,,0 days 00:00:25.117000,0 days 00:00:30.038000,0 days 00:00:43.700000,0 days 00:50:00.811000,0 days 00:50:30.849000,0 days 00:51:14.549000,108.0,280.0,291.0,308.0,False,SOFT,23.0,True,Force India,0 days 00:49:35.686000,2018-06-24 14:55:35.712,1,13.0,False,,False,True,0,0
0 days 00:52:52.860000,PER,11,0 days 00:01:38.319000,25.0,1.0,,,0 days 00:00:24.933000,0 days 00:00:29.886000,0 days 00:00:43.500000,0 days 00:51:39.482000,0 days 00:52:09.368000,0 days 00:52:52.868000,110.0,281.0,293.0,308.0,True,SOFT,24.0,True,Force India,0 days 00:51:14.541000,2018-06-24 14:57:14.567,1,13.0,False,,False,True,0,0
0 days 00:54:31.341000,PER,11,0 days 00:01:38.481000,26.0,1.0,,,0 days 00:00:24.962000,0 days 00:00:30.017000,0 days 00:00:43.502000,0 days 00:53:17.830000,0 days 00:53:47.847000,0 days 00:54:31.349000,109.0,280.0,291.0,307.0,False,SOFT,25.0,True,Force India,0 days 00:52:52.860000,2018-06-24 14:58:52.886,1,12.0,False,,False,True,1,0
0 days 00:56:09.821000,PER,11,0 days 00:01:38.480000,27.0,1.0,,,0 days 00:00:24.837000,0 days 00:00:30.120000,0 days 00:00:43.523000,0 days 00:54:56.186000,0 days 00:55:26.306000,0 days 00:56:09.829000,,279.0,291.0,308.0,False,SOFT,26.0,True,Force India,0 days 00:54:31.341000,2018-06-24 15:00:31.367,1,12.0,False,,False,True,0,0
0 days 00:57:45.884000,PER,11,,28.0,1.0,,0 days 00:57:45.892000,0 days 00:00:25.064000,0 days 00:00:29.934000,,0 days 00:56:34.932000,0 days 00:57:04.904000,,111.0,280.0,,304.0,False,SOFT,27.0,True,Force India,0 days 00:56:09.821000,2018-06-24 15:02:09.847,1,10.0,False,,False,False,1,1
0 days 00:10:03.735000,ALO,14,0 days 00:02:55.624000,1.0,,0 days 00:00:08.014000,0 days 00:09:57.204000,,0 days 00:00:55.509000,0 days 00:01:22.724000,,0 days 00:08:59.702000,0 days 00:10:22.301000,106.0,120.0,,79.0,False,nan,,True,McLaren,0 days 00:07:26.483000,2018-06-24 14:13:26.509,24,15.0,False,,False,False,1,0
0 days 00:12:18.815000,ALO,14,0 days 00:02:15.080000,2.0,2.0,0 days 00:10:23.003000,,0 days 00:00:34.993000,0 days 00:00:38.163000,0 days 00:01:01.924000,0 days 00:10:57.287000,0 days 00:11:35.450000,0 days 00:12:37.374000,96.0,255.0,145.0,277.0,False,SOFT,1.0,True,McLaren,0 days 00:10:03.735000,2018-06-24 14:16:03.761,4,6.0,False,,False,False,1,0
0 days 00:14:46.743000,ALO,14,0 days 00:02:27.928000,3.0,2.0,,,0 days 00:00:39.566000,0 days 00:00:45.772000,0 days 00:01:02.590000,0 days 00:13:16.940000,0 days 00:14:02.712000,0 days 00:15:05.302000,87.0,256.0,176.0,173.0,True,SOFT,2.0,True,McLaren,0 days 00:12:18.815000,2018-06-24 14:18:18.841,4,5.0,False,,False,False,1,0
0 days 00:17:19.538000,ALO,14,,4.0,2.0,,,0 days 00:00:35.787000,0 days 00:00:40.324000,0 days 00:01:16.689000,0 days 00:15:41.103000,0 days 00:16:21.475000,0 days 00:17:38.178000,101.0,239.0,199.0,140.0,False,SOFT,3.0,True,McLaren,0 days 00:14:46.743000,2018-06-24 14:20:46.769,4,8.0,False,,False,False,1,0
0 days 00:19:27.109000,ALO,14,0 days 00:02:07.571000,5.0,2.0,,,0 days 00:00:30.164000,0 days 00:00:40.063000,0 days 00:00:57.344000,0 days 00:18:08.261000,0 days 00:18:48.324000,0 days 00:19:45.668000,106.0,252.0,295.0,280.0,True,SOFT,4.0,True,McLaren,0 days 00:17:19.538000,2018-06-24 14:23:19.564,4,2.0,False,,False,False,1,0
0 days 00:21:15.658000,ALO,14,0 days 00:01:48.549000,6.0,2.0,,,0 days 00:00:32.548000,0 days 00:00:30.404000,0 days 00:00:45.597000,0 days 00:20:18.216000,0 days 00:20:48.620000,0 days 00:21:34.217000,122.0,272.0,285.0,291.0,True,SOFT,5.0,True,McLaren,0 days 00:19:27.109000,2018-06-24 14:25:27.135,42,3.0,False,,False,False,1,0
0 days 00:22:55.236000,ALO,14,0 days 00:01:39.578000,7.0,2.0,,,0 days 00:00:25.594000,0 days 00:00:30.162000,0 days 00:00:43.822000,0 days 00:21:59.811000,0 days 00:22:29.973000,0 days 00:23:13.795000,114.0,271.0,287.0,298.0,True,SOFT,6.0,True,McLaren,0 days 00:21:15.658000,2018-06-24 14:27:15.684,1,4.0,False,,False,True,1,0
0 days 00:24:34.844000,ALO,14,0 days 00:01:39.608000,8.0,2.0,,,0 days 00:00:25.279000,0 days 00:00:30.241000,0 days 00:00:44.088000,0 days 00:23:39.074000,0 days 00:24:09.315000,0 days 00:24:53.403000,112.0,274.0,293.0,301.0,False,SOFT,7.0,True,McLaren,0 days 00:22:55.236000,2018-06-24 14:28:55.262,1,4.0,False,,False,True,0,0
0 days 00:26:15.692000,ALO,14,0 days 00:01:40.848000,9.0,2.0,,,0 days 00:00:25.524000,0 days 00:00:30.138000,0 days 00:00:45.186000,0 days 00:25:18.927000,0 days 00:25:49.065000,0 days 00:26:34.251000,111.0,279.0,307.0,322.0,False,SOFT,8.0,True,McLaren,0 days 00:24:34.844000,2018-06-24 14:30:34.870,1,6.0,False,,False,True,1,0
0 days 00:27:57.156000,ALO,14,0 days 00:01:41.464000,10.0,2.0,,,0 days 00:00:25.940000,0 days 00:00:30.383000,0 days 00:00:45.141000,0 days 00:27:00.191000,0 days 00:27:30.574000,0 days 00:28:15.715000,113.0,279.0,302.0,320.0,False,SOFT,9.0,True,McLaren,0 days 00:26:15.692000,2018-06-24 14:32:15.718,1,7.0,False,,False,True,1,0
0 days 00:29:37.858000,ALO,14,0 days 00:01:40.702000,11.0,2.0,,,0 days 00:00:25.928000,0 days 00:00:30.425000,0 days 00:00:44.349000,0 days 00:28:41.643000,0 days 00:29:12.068000,0 days 00:29:56.417000,112.0,282.0,288.0,295.0,False,SOFT,10.0,True,McLaren,0 days 00:27:57.156000,2018-06-24 14:33:57.182,1,7.0,False,,False,True,0,0
0 days 00:31:18.014000,ALO,14,0 days 00:01:40.156000,12.0,2.0,,,0 days 00:00:25.482000,0 days 00:00:30.488000,0 days 00:00:44.186000,0 days 00:30:21.899000,0 days 00:30:52.387000,0 days 00:31:36.573000,108.0,275.0,289.0,298.0,False,SOFT,11.0,True,McLaren,0 days 00:29:37.858000,2018-06-24 14:35:37.884,1,8.0,False,,False,True,1,0
0 days 00:32:57.923000,ALO,14,0 days 00:01:39.909000,13.0,2.0,,,0 days 00:00:25.333000,0 days 00:00:30.047000,0 days 00:00:44.529000,0 days 00:32:01.906000,0 days 00:32:31.953000,0 days 00:33:16.482000,111.0,280.0,302.0,321.0,False,SOFT,12.0,True,McLaren,0 days 00:31:18.014000,2018-06-24 14:37:18.040,1,9.0,False,,False,True,1,0
0 days 00:34:37.965000,ALO,14,0 days 00:01:40.042000,14.0,2.0,,,0 days 00:00:25.663000,0 days 00:00:30.039000,0 days 00:00:44.340000,0 days 00:33:42.145000,0 days 00:34:12.184000,0 days 00:34:56.524000,,279.0,298.0,322.0,False,SOFT,13.0,True,McLaren,0 days 00:32:57.923000,2018-06-24 14:38:57.949,1,9.0,False,,False,True,0,0
