Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,Overtake,PitStop
0 days 00:08:29.075000,GAS,10,0 days 00:01:31.753000,1.0,,0 days 00:00:00.908000,,,0 days 00:00:31.898000,0 days 00:00:24.213000,,0 days 00:08:04.988000,0 days 00:08:29.224000,278.0,225.0,245.0,257.0,False,nan,,True,Toro Rosso,0 days 00:06:57.186000,2018-07-29 13:12:57.363,1,6.0,False,,False,False,0,0
0 days 00:09:54.737000,GAS,10,0 days 00:01:25.662000,2.0,1.0,,,0 days 00:00:30.400000,0 days 00:00:31.095000,0 days 00:00:24.167000,0 days 00:08:59.419000,0 days 00:09:30.514000,0 days 00:09:54.681000,277.0,230.0,245.0,289.0,True,ULTRASOFT,1.0,True,Toro Rosso,0 days 00:08:29.075000,2018-07-29 13:14:29.252,1,6.0,False,,False,True,0,0
0 days 00:11:19.865000,GAS,10,0 days 00:01:25.128000,3.0,1.0,,,0 days 00:00:30.287000,0 days 00:00:30.727000,0 days 00:00:24.114000,0 days 00:10:24.968000,0 days 00:10:55.695000,0 days 00:11:19.809000,276.0,230.0,243.0,287.0,True,ULTRASOFT,2.0,True,Toro Rosso,0 days 00:09:54.737000,2018-07-29 13:15:54.914,1,6.0,False,,False,True,0,0
0 days 00:12:44.745000,GAS,10,0 days 00:01:24.880000,4.0,1.0,,,0 days 00:00:30.227000,0 days 00:00:30.702000,0 days 00:00:23.951000,0 days 00:11:50.036000,0 days 00:12:20.738000,0 days 00:12:44.689000,275.0,228.0,244.0,285.0,True,ULTRASOFT,3.0,True,Toro Rosso,0 days 00:11:19.865000,2018-07-29 13:17:20.042,1,6.0,False,,False,True,0,0
0 days 00:14:09.487000,GAS,10,0 days 00:01:24.742000,5.0,1.0,,,0 days 00:00:30.243000,0 days 00:00:30.545000,0 days 00:00:23.954000,0 days 00:13:14.932000,0 days 00:13:45.477000,0 days 00:14:09.431000,271.0,233.0,243.0,,True,ULTRASOFT,4.0,True,Toro Rosso,0 days 00:12:44.745000,2018-07-29 13:18:44.922,1,6.0,False,,False,True,0,0
0 days 00:15:41.770000,GAS,10,0 days 00:01:32.283000,6.0,1.0,,,0 days 00:00:30.316000,0 days 00:00:30.578000,0 days 00:00:31.389000,0 days 00:14:39.747000,0 days 00:15:10.325000,0 days 00:15:41.714000,272.0,230.0,123.0,,False,ULTRASOFT,5.0,True,Toro Rosso,0 days 00:14:09.487000,2018-07-29 13:20:09.664,26,5.0,False,,False,False,1,0
0 days 00:17:15,GAS,10,0 days 00:01:33.230000,7.0,1.0,,,0 days 00:00:39.471000,0 days 00:00:30.097000,0 days 00:00:23.662000,0 days 00:16:21.185000,0 days 00:16:51.282000,0 days 00:17:14.944000,249.0,234.0,243.0,232.0,False,ULTRASOFT,6.0,True,Toro Rosso,0 days 00:15:41.770000,2018-07-29 13:21:41.947,67,5.0,False,,False,False,0,0
0 days 00:18:38.917000,GAS,10,0 days 00:01:23.917000,8.0,1.0,,,0 days 00:00:30.093000,0 days 00:00:30.124000,0 days 00:00:23.700000,0 days 00:17:45.037000,0 days 00:18:15.161000,0 days 00:18:38.861000,272.0,232.0,243.0,282.0,True,ULTRASOFT,7.0,True,Toro Rosso,0 days 00:17:15,2018-07-29 13:23:15.177,1,5.0,False,,False,True,0,0
0 days 00:20:02.828000,GAS,10,0 days 00:01:23.911000,9.0,1.0,,,0 days 00:00:30.093000,0 days 00:00:30.136000,0 days 00:00:23.682000,,0 days 00:19:39.090000,0 days 00:20:02.772000,271.0,231.0,243.0,,True,ULTRASOFT,8.0,True,Toro Rosso,0 days 00:18:38.917000,2018-07-29 13:24:39.094,1,5.0,False,,False,True,0,0
0 days 00:21:26.818000,GAS,10,0 days 00:01:23.990000,10.0,1.0,,,0 days 00:00:30.130000,0 days 00:00:30.111000,0 days 00:00:23.749000,0 days 00:20:32.902000,0 days 00:21:03.013000,0 days 00:21:26.762000,273.0,233.0,243.0,283.0,False,ULTRASOFT,9.0,True,Toro Rosso,0 days 00:20:02.828000,2018-07-29 13:26:03.005,1,5.0,False,,False,True,0,0
0 days 00:22:51.120000,GAS,10,0 days 00:01:24.302000,11.0,1.0,,,0 days 00:00:30.182000,0 days 00:00:30.323000,0 days 00:00:23.797000,0 days 00:21:56.944000,0 days 00:22:27.267000,0 days 00:22:51.064000,266.0,234.0,242.0,281.0,False,ULTRASOFT,10.0,True,Toro Rosso,0 days 00:21:26.818000,2018-07-29 13:27:26.995,1,5.0,False,,False,True,0,0
0 days 00:24:14.965000,GAS,10,0 days 00:01:23.845000,12.0,1.0,,,0 days 00:00:30.010000,0 days 00:00:30.179000,0 days 00:00:23.656000,0 days 00:23:21.074000,0 days 00:23:51.253000,0 days 00:24:14.909000,273.0,234.0,243.0,282.0,True,ULTRASOFT,11.0,True,Toro Rosso,0 days 00:22:51.120000,2018-07-29 13:28:51.297,1,5.0,False,,False,True,0,0
0 days 00:25:38.908000,GAS,10,0 days 00:01:23.943000,13.0,1.0,,,0 days 00:00:30.050000,0 days 00:00:30.261000,0 days 00:00:23.632000,0 days 00:24:44.959000,0 days 00:25:15.220000,0 days 00:25:38.852000,270.0,233.0,243.0,,False,ULTRASOFT,12.0,True,Toro Rosso,0 days 00:24:14.965000,2018-07-29 13:30:15.142,1,5.0,False,,False,True,0,0
0 days 00:27:03,GAS,10,0 days 00:01:24.092000,14.0,1.0,,,0 days 00:00:30.130000,0 days 00:00:30.288000,0 days 00:00:23.674000,0 days 00:26:08.982000,0 days 00:26:39.270000,0 days 00:27:02.944000,267.0,233.0,243.0,284.0,False,ULTRASOFT,13.0,True,Toro Rosso,0 days 00:25:38.908000,2018-07-29 13:31:39.085,1,5.0,False,,False,True,0,0
0 days 00:28:27.134000,GAS,10,0 days 00:01:24.134000,15.0,1.0,,,0 days 00:00:30.199000,0 days 00:00:30.264000,0 days 00:00:23.671000,0 days 00:27:33.143000,0 days 00:28:03.407000,0 days 00:28:27.078000,265.0,233.0,243.0,283.0,False,ULTRASOFT,14.0,True,Toro Rosso,0 days 00:27:03,2018-07-29 13:33:03.177,1,4.0,False,,False,True,1,0
0 days 00:29:51.196000,GAS,10,0 days 00:01:24.062000,16.0,1.0,,,0 days 00:00:30.089000,0 days 00:00:30.224000,0 days 00:00:23.749000,0 days 00:28:57.167000,0 days 00:29:27.391000,0 days 00:29:51.140000,269.0,234.0,244.0,,False,ULTRASOFT,15.0,True,Toro Rosso,0 days 00:28:27.134000,2018-07-29 13:34:27.311,1,3.0,False,,False,True,1,0
0 days 00:31:15.157000,GAS,10,0 days 00:01:23.961000,17.0,1.0,,,0 days 00:00:30.074000,0 days 00:00:30.206000,0 days 00:00:23.681000,0 days 00:30:21.214000,0 days 00:30:51.420000,0 days 00:31:15.101000,267.0,235.0,244.0,,False,ULTRASOFT,16.0,True,Toro Rosso,0 days 00:29:51.196000,2018-07-29 13:35:51.373,1,3.0,False,,False,True,0,0
