Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,Overtake,PitStop
0 days 00:20:31.013000,GAS,10,0 days 00:02:00.688000,1.0,,0 days 00:00:04.950000,,,0 days 00:00:33.112000,0 days 00:00:55.266000,,0 days 00:19:35.740000,0 days 00:20:31.136000,325.0,327.0,221.0,252.0,False,nan,,True,Toro Rosso,0 days 00:18:30.135000,2018-09-02 13:13:30.160,26,11.0,False,,False,False,0,0
0 days 00:22:48.384000,GAS,10,0 days 00:02:17.371000,2.0,1.0,,,0 days 00:00:45.449000,0 days 00:00:46.278000,0 days 00:00:45.644000,0 days 00:21:16.455000,0 days 00:22:02.733000,0 days 00:22:48.377000,117.0,198.0,192.0,123.0,True,SUPERSOFT,4.0,False,Toro Rosso,0 days 00:20:31.013000,2018-09-02 13:15:31.038,674,11.0,False,,False,False,0,0
0 days 00:24:49.395000,GAS,10,0 days 00:02:01.011000,3.0,1.0,,,0 days 00:00:45.960000,0 days 00:00:42.015000,0 days 00:00:33.036000,0 days 00:23:34.337000,0 days 00:24:16.352000,0 days 00:24:49.388000,164.0,123.0,312.0,104.0,True,SUPERSOFT,5.0,False,Toro Rosso,0 days 00:22:48.384000,2018-09-02 13:17:48.409,4,11.0,False,,False,False,0,0
0 days 00:26:18.561000,GAS,10,0 days 00:01:29.166000,4.0,1.0,,,0 days 00:00:29.369000,0 days 00:00:30.811000,0 days 00:00:28.986000,0 days 00:25:18.757000,0 days 00:25:49.568000,0 days 00:26:18.554000,318.0,328.0,309.0,346.0,True,SUPERSOFT,6.0,False,Toro Rosso,0 days 00:24:49.395000,2018-09-02 13:19:49.420,1,11.0,False,,False,False,0,0
0 days 00:27:45.806000,GAS,10,0 days 00:01:27.245000,5.0,1.0,,,0 days 00:00:28.247000,0 days 00:00:29.853000,0 days 00:00:29.145000,0 days 00:26:46.801000,0 days 00:27:16.654000,0 days 00:27:45.799000,,329.0,306.0,326.0,True,SUPERSOFT,7.0,False,Toro Rosso,0 days 00:26:18.561000,2018-09-02 13:21:18.586,1,12.0,False,,False,True,1,0
0 days 00:29:13.081000,GAS,10,0 days 00:01:27.275000,6.0,1.0,,,0 days 00:00:28.679000,0 days 00:00:29.785000,0 days 00:00:28.811000,0 days 00:28:14.478000,0 days 00:28:44.263000,0 days 00:29:13.074000,319.0,337.0,309.0,322.0,False,SUPERSOFT,8.0,False,Toro Rosso,0 days 00:27:45.806000,2018-09-02 13:22:45.831,1,14.0,False,,False,True,1,0
0 days 00:30:41.177000,GAS,10,0 days 00:01:28.096000,7.0,1.0,,,0 days 00:00:28.135000,0 days 00:00:30.291000,0 days 00:00:29.670000,0 days 00:29:41.209000,0 days 00:30:11.500000,0 days 00:30:41.170000,321.0,338.0,309.0,341.0,False,SUPERSOFT,9.0,False,Toro Rosso,0 days 00:29:13.081000,2018-09-02 13:24:13.106,1,15.0,False,,False,True,1,0
0 days 00:32:09.167000,GAS,10,0 days 00:01:27.990000,8.0,1.0,,,0 days 00:00:28.420000,0 days 00:00:30.457000,0 days 00:00:29.113000,0 days 00:31:09.590000,0 days 00:31:40.047000,0 days 00:32:09.160000,331.0,341.0,312.0,336.0,False,SUPERSOFT,10.0,False,Toro Rosso,0 days 00:30:41.177000,2018-09-02 13:25:41.202,1,16.0,False,,False,True,1,0
0 days 00:33:36.082000,GAS,10,0 days 00:01:26.915000,9.0,1.0,,,0 days 00:00:28.150000,0 days 00:00:29.954000,0 days 00:00:28.811000,0 days 00:32:37.310000,0 days 00:33:07.264000,0 days 00:33:36.075000,328.0,321.0,302.0,343.0,True,SUPERSOFT,11.0,False,Toro Rosso,0 days 00:32:09.167000,2018-09-02 13:27:09.192,1,14.0,False,,False,True,1,0
0 days 00:35:03.574000,GAS,10,0 days 00:01:27.492000,10.0,1.0,,,0 days 00:00:28.837000,0 days 00:00:29.772000,0 days 00:00:28.883000,0 days 00:34:04.912000,0 days 00:34:34.684000,0 days 00:35:03.567000,318.0,330.0,306.0,319.0,False,SUPERSOFT,12.0,False,Toro Rosso,0 days 00:33:36.082000,2018-09-02 13:28:36.107,1,14.0,False,,False,True,0,0
0 days 00:36:31.372000,GAS,10,0 days 00:01:27.798000,11.0,1.0,,,0 days 00:00:29.091000,0 days 00:00:29.819000,0 days 00:00:28.888000,0 days 00:35:32.658000,0 days 00:36:02.477000,0 days 00:36:31.365000,313.0,320.0,302.0,327.0,False,SUPERSOFT,13.0,False,Toro Rosso,0 days 00:35:03.574000,2018-09-02 13:30:03.599,1,15.0,False,,False,True,1,0
0 days 00:37:59.191000,GAS,10,0 days 00:01:27.819000,12.0,1.0,,,0 days 00:00:28.911000,0 days 00:00:30.010000,0 days 00:00:28.898000,0 days 00:37:00.276000,0 days 00:37:30.286000,0 days 00:37:59.184000,324.0,326.0,307.0,321.0,False,SUPERSOFT,14.0,False,Toro Rosso,0 days 00:36:31.372000,2018-09-02 13:31:31.397,1,15.0,False,,False,True,0,0
0 days 00:39:25.544000,GAS,10,0 days 00:01:26.353000,13.0,1.0,,,0 days 00:00:28.068000,0 days 00:00:29.497000,0 days 00:00:28.788000,0 days 00:38:27.252000,0 days 00:38:56.749000,0 days 00:39:25.537000,319.0,324.0,306.0,328.0,True,SUPERSOFT,15.0,False,Toro Rosso,0 days 00:37:59.191000,2018-09-02 13:32:59.216,1,15.0,False,,False,True,0,0
0 days 00:40:52.249000,GAS,10,0 days 00:01:26.705000,14.0,1.0,,,0 days 00:00:28.330000,0 days 00:00:29.537000,0 days 00:00:28.838000,0 days 00:39:53.867000,0 days 00:40:23.404000,0 days 00:40:52.242000,310.0,320.0,303.0,323.0,False,SUPERSOFT,16.0,False,Toro Rosso,0 days 00:39:25.544000,2018-09-02 13:34:25.569,1,14.0,False,,False,True,1,0
0 days 00:42:19.442000,GAS,10,0 days 00:01:27.193000,15.0,1.0,,,0 days 00:00:28.501000,0 days 00:00:29.856000,0 days 00:00:28.836000,0 days 00:41:20.743000,0 days 00:41:50.599000,0 days 00:42:19.435000,315.0,318.0,303.0,325.0,False,SUPERSOFT,17.0,False,Toro Rosso,0 days 00:40:52.249000,2018-09-02 13:35:52.274,1,14.0,False,,False,True,0,0
0 days 00:43:46.152000,GAS,10,0 days 00:01:26.710000,16.0,1.0,,,0 days 00:00:28.297000,0 days 00:00:29.488000,0 days 00:00:28.925000,0 days 00:42:47.732000,0 days 00:43:17.220000,0 days 00:43:46.145000,308.0,314.0,302.0,322.0,False,SUPERSOFT,18.0,False,Toro Rosso,0 days 00:42:19.442000,2018-09-02 13:37:19.467,1,14.0,False,,False,True,0,0
0 days 00:45:14.047000,GAS,10,0 days 00:01:27.895000,17.0,1.0,,,0 days 00:00:28.411000,0 days 00:00:30.449000,0 days 00:00:29.035000,0 days 00:44:14.556000,0 days 00:44:45.005000,0 days 00:45:14.040000,307.0,333.0,308.0,319.0,False,SUPERSOFT,19.0,False,Toro Rosso,0 days 00:43:46.152000,2018-09-02 13:38:46.177,1,14.0,False,,False,True,0,0
0 days 00:46:41.405000,GAS,10,0 days 00:01:27.358000,18.0,1.0,,,0 days 00:00:28.619000,0 days 00:00:29.769000,0 days 00:00:28.970000,0 days 00:45:42.659000,0 days 00:46:12.428000,0 days 00:46:41.398000,322.0,335.0,309.0,336.0,False,SUPERSOFT,20.0,False,Toro Rosso,0 days 00:45:14.047000,2018-09-02 13:40:14.072,1,15.0,False,,False,True,1,0
0 days 00:48:08.432000,GAS,10,0 days 00:01:27.027000,19.0,1.0,,,0 days 00:00:28.259000,0 days 00:00:29.664000,0 days 00:00:29.104000,0 days 00:47:09.657000,0 days 00:47:39.321000,0 days 00:48:08.425000,317.0,322.0,306.0,344.0,False,SUPERSOFT,21.0,False,Toro Rosso,0 days 00:46:41.405000,2018-09-02 13:41:41.430,1,15.0,False,,False,True,0,0
0 days 00:49:35.046000,GAS,10,0 days 00:01:26.614000,20.0,1.0,,,0 days 00:00:28.360000,0 days 00:00:29.464000,0 days 00:00:28.790000,0 days 00:48:36.785000,0 days 00:49:06.249000,0 days 00:49:35.039000,314.0,324.0,307.0,326.0,False,SUPERSOFT,22.0,False,Toro Rosso,0 days 00:48:08.432000,2018-09-02 13:43:08.457,1,15.0,False,,False,True,0,0
0 days 00:51:01.463000,GAS,10,0 days 00:01:26.417000,21.0,1.0,,,0 days 00:00:28.165000,0 days 00:00:29.452000,0 days 00:00:28.800000,0 days 00:50:03.204000,0 days 00:50:32.656000,0 days 00:51:01.456000,316.0,324.0,308.0,327.0,False,SUPERSOFT,23.0,False,Toro Rosso,0 days 00:49:35.046000,2018-09-02 13:44:35.071,1,15.0,False,,False,True,0,0
0 days 00:52:27.920000,GAS,10,0 days 00:01:26.457000,22.0,1.0,,,0 days 00:00:28.226000,0 days 00:00:29.549000,0 days 00:00:28.682000,0 days 00:51:29.682000,0 days 00:51:59.231000,0 days 00:52:27.913000,,319.0,308.0,328.0,False,SUPERSOFT,24.0,False,Toro Rosso,0 days 00:51:01.463000,2018-09-02 13:46:01.488,1,15.0,False,,False,True,0,0
0 days 00:53:54.296000,GAS,10,0 days 00:01:26.376000,23.0,1.0,,,0 days 00:00:28.127000,0 days 00:00:29.541000,0 days 00:00:28.708000,0 days 00:52:56.040000,0 days 00:53:25.581000,0 days 00:53:54.289000,317.0,322.0,307.0,330.0,False,SUPERSOFT,25.0,False,Toro Rosso,0 days 00:52:27.920000,2018-09-02 13:47:27.945,1,14.0,False,,False,True,1,0
0 days 00:55:20.744000,GAS,10,0 days 00:01:26.448000,24.0,1.0,,,0 days 00:00:28.112000,0 days 00:00:29.588000,0 days 00:00:28.748000,0 days 00:54:22.401000,0 days 00:54:51.989000,0 days 00:55:20.737000,318.0,331.0,310.0,332.0,False,SUPERSOFT,26.0,False,Toro Rosso,0 days 00:53:54.296000,2018-09-02 13:48:54.321,2,13.0,False,,False,True,1,0
0 days 00:56:47.047000,GAS,10,0 days 00:01:26.303000,25.0,1.0,,,0 days 00:00:28.010000,0 days 00:00:29.583000,0 days 00:00:28.710000,0 days 00:55:48.747000,0 days 00:56:18.330000,0 days 00:56:47.040000,321.0,335.0,312.0,338.0,True,SUPERSOFT,27.0,False,Toro Rosso,0 days 00:55:20.744000,2018-09-02 13:50:20.769,2,13.0,False,,False,True,0,0
0 days 00:58:13.223000,GAS,10,0 days 00:01:26.176000,26.0,1.0,,,0 days 00:00:28.025000,0 days 00:00:29.488000,0 days 00:00:28.663000,0 days 00:57:15.065000,0 days 00:57:44.553000,0 days 00:58:13.216000,320.0,335.0,310.0,346.0,True,SUPERSOFT,28.0,False,Toro Rosso,0 days 00:56:47.047000,2018-09-02 13:51:47.072,2,13.0,False,,False,True,0,0
0 days 00:59:39.299000,GAS,10,0 days 00:01:26.076000,27.0,1.0,,,0 days 00:00:28.098000,0 days 00:00:29.376000,0 days 00:00:28.602000,0 days 00:58:41.314000,0 days 00:59:10.690000,0 days 00:59:39.292000,319.0,334.0,312.0,337.0,True,SUPERSOFT,29.0,False,Toro Rosso,0 days 00:58:13.223000,2018-09-02 13:53:13.248,1,13.0,False,,False,True,0,0
0 days 01:01:06.072000,GAS,10,0 days 00:01:26.773000,28.0,1.0,,,0 days 00:00:27.994000,0 days 00:00:29.950000,0 days 00:00:28.829000,0 days 01:00:07.286000,0 days 01:00:37.236000,0 days 01:01:06.065000,328.0,330.0,308.0,341.0,False,SUPERSOFT,30.0,False,Toro Rosso,0 days 00:59:39.299000,2018-09-02 13:54:39.324,1,13.0,False,,False,True,0,0
0 days 01:02:32.570000,GAS,10,0 days 00:01:26.498000,29.0,1.0,,,0 days 00:00:28.029000,0 days 00:00:29.771000,0 days 00:00:28.698000,0 days 01:01:34.094000,0 days 01:02:03.865000,0 days 01:02:32.563000,324.0,334.0,310.0,337.0,False,SUPERSOFT,31.0,False,Toro Rosso,0 days 01:01:06.072000,2018-09-02 13:56:06.097,1,13.0,False,,False,True,0,0
0 days 01:03:59.626000,GAS,10,0 days 00:01:27.056000,30.0,1.0,,,0 days 00:00:28.252000,0 days 00:00:29.857000,0 days 00:00:28.947000,0 days 01:03:00.815000,0 days 01:03:30.672000,0 days 01:03:59.619000,325.0,332.0,307.0,347.0,False,SUPERSOFT,32.0,False,Toro Rosso,0 days 01:02:32.570000,2018-09-02 13:57:32.595,1,13.0,False,,False,True,0,0
0 days 01:05:25.975000,GAS,10,0 days 00:01:26.349000,31.0,1.0,,,0 days 00:00:28.007000,0 days 00:00:29.365000,0 days 00:00:28.977000,0 days 01:04:27.626000,0 days 01:04:56.991000,0 days 01:05:25.968000,320.0,329.0,308.0,339.0,False,SUPERSOFT,33.0,False,Toro Rosso,0 days 01:03:59.626000,2018-09-02 13:58:59.651,1,13.0,False,,False,True,0,0
0 days 01:06:52.204000,GAS,10,0 days 00:01:26.229000,32.0,1.0,,,0 days 00:00:27.962000,0 days 00:00:29.542000,0 days 00:00:28.725000,0 days 01:05:53.930000,0 days 01:06:23.472000,0 days 01:06:52.197000,323.0,327.0,309.0,332.0,False,SUPERSOFT,34.0,False,Toro Rosso,0 days 01:05:25.975000,2018-09-02 14:00:26.000,1,13.0,False,,False,True,0,0
0 days 01:08:18.180000,GAS,10,0 days 00:01:25.976000,33.0,1.0,,,0 days 00:00:28.023000,0 days 00:00:29.203000,0 days 00:00:28.750000,0 days 01:07:20.220000,0 days 01:07:49.423000,0 days 01:08:18.173000,,330.0,310.0,337.0,True,SUPERSOFT,35.0,False,Toro Rosso,0 days 01:06:52.204000,2018-09-02 14:01:52.229,1,13.0,False,,False,True,0,0
0 days 01:09:48.872000,GAS,10,0 days 00:01:30.692000,34.0,1.0,,0 days 01:09:45.072000,0 days 00:00:28.250000,0 days 00:00:29.575000,0 days 00:00:32.867000,0 days 01:08:46.423000,0 days 01:09:15.998000,0 days 01:09:48.865000,319.0,329.0,,336.0,False,SUPERSOFT,36.0,False,Toro Rosso,0 days 01:08:18.180000,2018-09-02 14:03:18.205,1,14.0,False,,False,False,1,1
0 days 01:11:38.524000,GAS,10,0 days 00:01:49.652000,35.0,2.0,0 days 01:10:12.884000,,0 days 00:00:52.099000,0 days 00:00:29.304000,0 days 00:00:28.249000,0 days 01:10:40.964000,0 days 01:11:10.268000,0 days 01:11:38.517000,311.0,323.0,309.0,285.0,False,SOFT,1.0,True,Toro Rosso,0 days 01:09:48.872000,2018-09-02 14:04:48.897,1,16.0,False,,False,False,1,0
0 days 01:13:03.444000,GAS,10,0 days 00:01:24.920000,36.0,2.0,,,0 days 00:00:27.883000,0 days 00:00:28.860000,0 days 00:00:28.177000,0 days 01:12:06.400000,0 days 01:12:35.260000,0 days 01:13:03.437000,313.0,328.0,310.0,322.0,True,SOFT,2.0,True,Toro Rosso,0 days 01:11:38.524000,2018-09-02 14:06:38.549,1,16.0,False,,False,True,0,0
0 days 01:14:28.526000,GAS,10,0 days 00:01:25.082000,37.0,2.0,,,0 days 00:00:27.711000,0 days 00:00:28.957000,0 days 00:00:28.414000,0 days 01:13:31.148000,0 days 01:14:00.105000,0 days 01:14:28.519000,320.0,337.0,314.0,328.0,False,SOFT,3.0,True,Toro Rosso,0 days 01:13:03.444000,2018-09-02 14:08:03.469,1,16.0,False,,False,True,0,0
0 days 01:15:53.657000,GAS,10,0 days 00:01:25.131000,38.0,2.0,,,0 days 00:00:27.770000,0 days 00:00:29.187000,0 days 00:00:28.174000,0 days 01:14:56.289000,0 days 01:15:25.476000,0 days 01:15:53.650000,318.0,333.0,312.0,348.0,False,SOFT,4.0,True,Toro Rosso,0 days 01:14:28.526000,2018-09-02 14:09:28.551,1,16.0,False,,False,True,0,0
