Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,Overtake,PitStop
0 days 01:04:16.220000,BOT,77,,1.0,1.0,0 days 00:23:41.839000,0 days 01:04:15.038000,,0 days 00:00:59.019000,0 days 00:00:33.045000,,0 days 01:03:44.752000,0 days 01:04:17.795000,258.0,81.0,,306.0,False,MEDIUM,6.0,False,Mercedes,0 days 01:02:03.441000,2021-11-07 19:03:04.837,24,18.0,False,,False,False,0,0
0 days 01:06:29.948000,BOT,77,0 days 00:02:13.728000,2.0,2.0,0 days 01:04:37.516000,,0 days 00:00:57.767000,0 days 00:00:37.216000,0 days 00:00:38.745000,0 days 01:05:15.435000,0 days 01:05:52.651000,0 days 01:06:31.396000,230.0,188.0,132.0,269.0,False,HARD,1.0,True,Mercedes,0 days 01:04:16.220000,2021-11-07 19:05:17.616,4,17.0,False,,False,False,1,0
0 days 01:08:36.039000,BOT,77,0 days 00:02:06.091000,3.0,2.0,,,0 days 00:00:48.160000,0 days 00:00:40.544000,0 days 00:00:37.387000,0 days 01:07:19.556000,0 days 01:08:00.100000,0 days 01:08:37.487000,242.0,198.0,128.0,225.0,True,HARD,2.0,True,Mercedes,0 days 01:06:29.948000,2021-11-07 19:07:31.344,4,17.0,False,,False,False,0,0
0 days 01:10:22.635000,BOT,77,0 days 00:01:46.596000,4.0,2.0,,,0 days 00:00:47.247000,0 days 00:00:35.328000,0 days 00:00:24.021000,0 days 01:09:24.734000,0 days 01:10:00.062000,0 days 01:10:24.083000,197.0,202.0,249.0,251.0,True,HARD,3.0,True,Mercedes,0 days 01:08:36.039000,2021-11-07 19:09:37.435,4,14.0,False,,False,False,1,0
0 days 01:11:51.217000,BOT,77,0 days 00:01:28.582000,5.0,2.0,,,0 days 00:00:29.377000,0 days 00:00:36.628000,0 days 00:00:22.577000,0 days 01:10:53.460000,0 days 01:11:30.088000,0 days 01:11:52.665000,262.0,281.0,246.0,335.0,True,HARD,4.0,True,Mercedes,0 days 01:10:22.635000,2021-11-07 19:11:24.031,1,18.0,False,,False,False,1,0
0 days 01:13:15.707000,BOT,77,0 days 00:01:24.490000,6.0,2.0,,,0 days 00:00:29.204000,0 days 00:00:33.206000,0 days 00:00:22.080000,0 days 01:12:21.869000,0 days 01:12:55.075000,0 days 01:13:17.155000,276.0,282.0,247.0,327.0,True,HARD,5.0,True,Mercedes,0 days 01:11:51.217000,2021-11-07 19:12:52.613,1,17.0,False,,False,True,1,0
0 days 01:14:40.304000,BOT,77,0 days 00:01:24.597000,7.0,2.0,,,0 days 00:00:29.295000,0 days 00:00:33.447000,0 days 00:00:21.855000,0 days 01:13:46.450000,0 days 01:14:19.897000,0 days 01:14:41.752000,266.0,284.0,247.0,332.0,False,HARD,6.0,True,Mercedes,0 days 01:13:15.707000,2021-11-07 19:14:17.103,1,17.0,False,,False,True,0,0
0 days 01:16:04.463000,BOT,77,0 days 00:01:24.159000,8.0,2.0,,,0 days 00:00:28.862000,0 days 00:00:33.343000,0 days 00:00:21.954000,0 days 01:15:10.614000,0 days 01:15:43.957000,0 days 01:16:05.911000,270.0,292.0,248.0,349.0,True,HARD,7.0,True,Mercedes,0 days 01:14:40.304000,2021-11-07 19:15:41.700,1,16.0,False,,False,True,1,0
0 days 01:17:29.393000,BOT,77,0 days 00:01:24.930000,9.0,2.0,,,0 days 00:00:29.185000,0 days 00:00:33.694000,0 days 00:00:22.051000,0 days 01:16:35.096000,0 days 01:17:08.790000,0 days 01:17:30.841000,271.0,290.0,247.0,343.0,False,HARD,8.0,True,Mercedes,0 days 01:16:04.463000,2021-11-07 19:17:05.859,1,16.0,False,,False,True,0,0
0 days 01:18:55.275000,BOT,77,0 days 00:01:25.882000,10.0,2.0,,,0 days 00:00:29.283000,0 days 00:00:34.260000,0 days 00:00:22.339000,0 days 01:18:00.124000,0 days 01:18:34.384000,0 days 01:18:56.723000,266.0,290.0,245.0,337.0,False,HARD,9.0,True,Mercedes,0 days 01:17:29.393000,2021-11-07 19:18:30.789,1,17.0,False,,False,True,1,0
