Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,Overtake,PitStop
0 days 00:34:48.206000,HAM,44,0 days 00:01:38.260000,1.0,1.0,0 days 00:00:06.189000,,,0 days 00:00:39.888000,0 days 00:00:30.581000,,0 days 00:34:17.735000,0 days 00:34:48.359000,262.0,150.0,294.0,231.0,False,MEDIUM,6.0,False,Mercedes,0 days 00:33:09.808000,2020-10-25 13:13:10.885,2,3.0,False,,False,False,0,0
0 days 00:36:13.950000,HAM,44,0 days 00:01:25.744000,2.0,1.0,,,0 days 00:00:25.711000,0 days 00:00:33.101000,0 days 00:00:26.932000,0 days 00:35:13.914000,0 days 00:35:47.015000,0 days 00:36:13.947000,268.0,183.0,296.0,305.0,True,MEDIUM,7.0,False,Mercedes,0 days 00:34:48.206000,2020-10-25 13:14:49.283,1,3.0,False,,False,True,0,0
0 days 00:37:37.766000,HAM,44,0 days 00:01:23.816000,3.0,1.0,,,0 days 00:00:24.412000,0 days 00:00:32.576000,0 days 00:00:26.828000,0 days 00:36:38.359000,0 days 00:37:10.935000,0 days 00:37:37.763000,270.0,185.0,303.0,310.0,True,MEDIUM,8.0,False,Mercedes,0 days 00:36:13.950000,2020-10-25 13:16:15.027,1,3.0,False,,False,True,0,0
0 days 00:39:00.992000,HAM,44,0 days 00:01:23.226000,4.0,1.0,,,0 days 00:00:24.092000,0 days 00:00:32.324000,0 days 00:00:26.810000,0 days 00:38:01.855000,0 days 00:38:34.179000,0 days 00:39:00.989000,268.0,182.0,306.0,316.0,True,MEDIUM,9.0,False,Mercedes,0 days 00:37:37.766000,2020-10-25 13:17:38.843,1,3.0,False,,False,True,0,0
0 days 00:40:23.988000,HAM,44,0 days 00:01:22.996000,5.0,1.0,,,0 days 00:00:24.205000,0 days 00:00:32.114000,0 days 00:00:26.677000,0 days 00:39:25.194000,0 days 00:39:57.308000,0 days 00:40:23.985000,269.0,187.0,310.0,,True,MEDIUM,10.0,False,Mercedes,0 days 00:39:00.992000,2020-10-25 13:19:02.069,1,3.0,False,,False,True,0,0
0 days 00:41:47.930000,HAM,44,0 days 00:01:23.942000,6.0,1.0,,,0 days 00:00:24.647000,0 days 00:00:32.216000,0 days 00:00:27.079000,0 days 00:40:48.632000,0 days 00:41:20.848000,0 days 00:41:47.927000,273.0,184.0,316.0,321.0,False,MEDIUM,11.0,False,Mercedes,0 days 00:40:23.988000,2020-10-25 13:20:25.065,1,3.0,False,,False,True,0,0
0 days 00:43:09.970000,HAM,44,0 days 00:01:22.040000,7.0,1.0,,,0 days 00:00:23.681000,0 days 00:00:31.641000,0 days 00:00:26.718000,0 days 00:42:11.608000,0 days 00:42:43.249000,0 days 00:43:09.967000,262.0,190.0,293.0,323.0,True,MEDIUM,12.0,False,Mercedes,0 days 00:41:47.930000,2020-10-25 13:21:49.007,1,2.0,False,,False,True,1,0
0 days 00:44:31.792000,HAM,44,0 days 00:01:21.822000,8.0,1.0,,,0 days 00:00:24.117000,0 days 00:00:31.364000,0 days 00:00:26.341000,0 days 00:43:34.084000,0 days 00:44:05.448000,0 days 00:44:31.789000,265.0,190.0,294.0,294.0,True,MEDIUM,13.0,False,Mercedes,0 days 00:43:09.970000,2020-10-25 13:23:11.047,1,2.0,False,,False,True,0,0
0 days 00:45:53.584000,HAM,44,0 days 00:01:21.792000,9.0,1.0,,,0 days 00:00:23.792000,0 days 00:00:31.408000,0 days 00:00:26.592000,0 days 00:44:55.581000,0 days 00:45:26.989000,0 days 00:45:53.581000,267.0,189.0,294.0,292.0,True,MEDIUM,14.0,False,Mercedes,0 days 00:44:31.792000,2020-10-25 13:24:32.869,1,2.0,False,,False,True,0,0
0 days 00:47:15.625000,HAM,44,0 days 00:01:22.041000,10.0,1.0,,,0 days 00:00:23.952000,0 days 00:00:31.527000,0 days 00:00:26.562000,0 days 00:46:17.533000,0 days 00:46:49.060000,0 days 00:47:15.622000,265.0,186.0,293.0,296.0,False,MEDIUM,15.0,False,Mercedes,0 days 00:45:53.584000,2020-10-25 13:25:54.661,1,2.0,False,,False,True,0,0
0 days 00:48:37.577000,HAM,44,0 days 00:01:21.952000,11.0,1.0,,,0 days 00:00:23.786000,0 days 00:00:31.495000,0 days 00:00:26.671000,0 days 00:47:39.408000,0 days 00:48:10.903000,0 days 00:48:37.574000,,186.0,295.0,,False,MEDIUM,16.0,False,Mercedes,0 days 00:47:15.625000,2020-10-25 13:27:16.702,1,2.0,False,,False,True,0,0
0 days 00:49:59.517000,HAM,44,0 days 00:01:21.940000,12.0,1.0,,,0 days 00:00:23.763000,0 days 00:00:31.548000,0 days 00:00:26.629000,0 days 00:49:01.337000,0 days 00:49:32.885000,0 days 00:49:59.514000,267.0,188.0,295.0,298.0,False,MEDIUM,17.0,False,Mercedes,0 days 00:48:37.577000,2020-10-25 13:28:38.654,1,2.0,False,,False,True,0,0
0 days 00:51:21.646000,HAM,44,0 days 00:01:22.129000,13.0,1.0,,,0 days 00:00:23.747000,0 days 00:00:31.760000,0 days 00:00:26.622000,0 days 00:50:23.261000,0 days 00:50:55.021000,0 days 00:51:21.643000,263.0,186.0,294.0,,False,MEDIUM,18.0,False,Mercedes,0 days 00:49:59.517000,2020-10-25 13:30:00.594,1,2.0,False,,False,True,0,0
0 days 00:52:43.402000,HAM,44,0 days 00:01:21.756000,14.0,1.0,,,0 days 00:00:23.747000,0 days 00:00:31.474000,0 days 00:00:26.535000,,0 days 00:52:16.864000,0 days 00:52:43.399000,266.0,186.0,294.0,293.0,True,MEDIUM,19.0,False,Mercedes,0 days 00:51:21.646000,2020-10-25 13:31:22.723,1,2.0,False,,False,True,0,0
0 days 00:54:04.823000,HAM,44,0 days 00:01:21.421000,15.0,1.0,,,0 days 00:00:23.598000,0 days 00:00:31.404000,0 days 00:00:26.419000,0 days 00:53:06.997000,0 days 00:53:38.401000,0 days 00:54:04.820000,270.0,192.0,294.0,296.0,True,MEDIUM,20.0,False,Mercedes,0 days 00:52:43.402000,2020-10-25 13:32:44.479,1,2.0,False,,False,True,0,0
0 days 00:55:26.189000,HAM,44,0 days 00:01:21.366000,16.0,1.0,,,0 days 00:00:23.536000,0 days 00:00:31.292000,0 days 00:00:26.538000,0 days 00:54:28.356000,0 days 00:54:59.648000,0 days 00:55:26.186000,,192.0,294.0,298.0,True,MEDIUM,21.0,False,Mercedes,0 days 00:54:04.823000,2020-10-25 13:34:05.900,1,2.0,False,,False,True,0,0
0 days 00:56:47.506000,HAM,44,0 days 00:01:21.317000,17.0,1.0,,,0 days 00:00:23.428000,0 days 00:00:31.452000,0 days 00:00:26.437000,0 days 00:55:49.614000,0 days 00:56:21.066000,0 days 00:56:47.503000,268.0,191.0,294.0,299.0,True,MEDIUM,22.0,False,Mercedes,0 days 00:55:26.189000,2020-10-25 13:35:27.266,1,2.0,False,,False,True,0,0
0 days 00:58:09.319000,HAM,44,0 days 00:01:21.813000,18.0,1.0,,,0 days 00:00:23.599000,0 days 00:00:31.531000,0 days 00:00:26.683000,0 days 00:57:11.102000,0 days 00:57:42.633000,0 days 00:58:09.316000,,190.0,304.0,,False,MEDIUM,23.0,False,Mercedes,0 days 00:56:47.506000,2020-10-25 13:36:48.583,1,2.0,False,,False,True,0,0
0 days 00:59:31.681000,HAM,44,0 days 00:01:22.362000,19.0,1.0,,,0 days 00:00:23.433000,0 days 00:00:32.111000,0 days 00:00:26.818000,0 days 00:58:32.749000,0 days 00:59:04.860000,0 days 00:59:31.678000,271.0,181.0,309.0,320.0,False,MEDIUM,24.0,False,Mercedes,0 days 00:58:09.319000,2020-10-25 13:38:10.396,1,2.0,False,,False,True,0,0
0 days 01:00:52.815000,HAM,44,0 days 00:01:21.134000,20.0,1.0,,,0 days 00:00:23.272000,0 days 00:00:31.532000,0 days 00:00:26.330000,0 days 00:59:54.950000,0 days 01:00:26.482000,0 days 01:00:52.812000,264.0,192.0,296.0,324.0,True,MEDIUM,25.0,False,Mercedes,0 days 00:59:31.681000,2020-10-25 13:39:32.758,1,1.0,False,,False,True,1,0
