Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,Overtake,PitStop
0 days 00:08:52.647000,GAS,10,,0.0,1.0,,,,,,,,,,,,,False,SOFT,1.0,True,Toro Rosso,0 days 00:07:04.213000,2018-05-13 13:13:11.037,24,2.0,False,,True,False,0,0
0 days 00:09:09.598000,PER,11,0 days 00:02:05.103000,1.0,,0 days 00:00:04.447000,,,0 days 00:00:58.063000,0 days 00:00:33.866000,,0 days 00:08:35.647000,0 days 00:09:09.584000,220.0,173.0,252.0,309.0,False,nan,,True,Force India,0 days 00:07:04.213000,2018-05-13 13:13:11.037,24,13.0,False,,False,False,1,0
0 days 00:11:44.041000,PER,11,,2.0,1.0,,,0 days 00:01:05.386000,0 days 00:00:48.829000,0 days 00:00:40.228000,0 days 00:10:14.971000,0 days 00:11:03.774000,0 days 00:11:44.088000,113.0,99.0,98.0,210.0,False,SOFT,1.0,True,Force India,0 days 00:09:09.598000,2018-05-13 13:15:16.422,4,14.0,False,,False,False,1,0
0 days 00:13:56.757000,PER,11,0 days 00:02:12.716000,3.0,1.0,,,0 days 00:00:45.412000,0 days 00:00:48.567000,0 days 00:00:38.737000,0 days 00:12:29.368000,0 days 00:13:17.935000,0 days 00:13:56.672000,97.0,155.0,163.0,178.0,True,SOFT,2.0,True,Force India,0 days 00:11:44.041000,2018-05-13 13:17:50.865,4,13.0,False,,False,False,1,0
0 days 00:16:10.969000,PER,11,0 days 00:02:14.212000,4.0,1.0,,,0 days 00:00:43.143000,0 days 00:00:46.168000,0 days 00:00:44.901000,0 days 00:14:39.815000,0 days 00:15:25.983000,0 days 00:16:10.884000,64.0,151.0,237.0,258.0,False,SOFT,3.0,True,Force India,0 days 00:13:56.757000,2018-05-13 13:20:03.581,4,13.0,False,,False,False,0,0
0 days 00:18:18.443000,PER,11,0 days 00:02:07.474000,5.0,1.0,,,0 days 00:00:37.976000,0 days 00:00:46.577000,0 days 00:00:42.921000,0 days 00:16:48.860000,0 days 00:17:35.437000,0 days 00:18:18.358000,152.0,89.0,247.0,282.0,True,SOFT,4.0,True,Force India,0 days 00:16:10.969000,2018-05-13 13:22:17.793,4,13.0,False,,False,False,0,0
0 days 00:20:20.960000,PER,11,0 days 00:02:02.517000,6.0,1.0,,,0 days 00:00:35.886000,0 days 00:00:52.438000,0 days 00:00:34.193000,0 days 00:18:54.244000,0 days 00:19:46.682000,0 days 00:20:20.875000,118.0,99.0,279.0,246.0,True,SOFT,5.0,True,Force India,0 days 00:18:18.443000,2018-05-13 13:24:25.267,4,13.0,False,,False,False,0,0
0 days 00:21:49.107000,PER,11,0 days 00:01:28.147000,7.0,1.0,,,0 days 00:00:24.602000,0 days 00:00:33.482000,0 days 00:00:30.063000,0 days 00:20:45.477000,0 days 00:21:18.959000,0 days 00:21:49.022000,243.0,224.0,281.0,324.0,True,SOFT,6.0,True,Force India,0 days 00:20:20.960000,2018-05-13 13:26:27.784,1,13.0,False,,False,False,0,0
0 days 00:23:15.964000,PER,11,0 days 00:01:26.857000,8.0,1.0,,,0 days 00:00:24.410000,0 days 00:00:33.059000,0 days 00:00:29.388000,0 days 00:22:13.432000,0 days 00:22:46.491000,0 days 00:23:15.879000,244.0,228.0,280.0,323.0,True,SOFT,7.0,True,Force India,0 days 00:21:49.107000,2018-05-13 13:27:55.931,1,13.0,False,,False,True,0,0
0 days 00:24:41.604000,PER,11,0 days 00:01:25.640000,9.0,1.0,,,0 days 00:00:23.903000,0 days 00:00:32.414000,0 days 00:00:29.323000,0 days 00:23:39.782000,0 days 00:24:12.196000,0 days 00:24:41.519000,246.0,240.0,281.0,316.0,True,SOFT,8.0,True,Force India,0 days 00:23:15.964000,2018-05-13 13:29:22.788,1,13.0,False,,False,True,0,0
0 days 00:26:06.316000,PER,11,0 days 00:01:24.712000,10.0,1.0,,,0 days 00:00:23.583000,0 days 00:00:32.216000,0 days 00:00:28.913000,0 days 00:25:05.102000,0 days 00:25:37.318000,0 days 00:26:06.231000,265.0,246.0,284.0,317.0,True,SOFT,9.0,True,Force India,0 days 00:24:41.604000,2018-05-13 13:30:48.428,1,13.0,False,,False,True,0,0
0 days 00:27:31.157000,PER,11,0 days 00:01:24.841000,11.0,1.0,,,0 days 00:00:23.547000,0 days 00:00:31.953000,0 days 00:00:29.341000,0 days 00:26:29.778000,0 days 00:27:01.731000,0 days 00:27:31.072000,261.0,246.0,285.0,332.0,False,SOFT,10.0,True,Force India,0 days 00:26:06.316000,2018-05-13 13:32:13.140,1,13.0,False,,False,True,0,0
0 days 00:28:56.214000,PER,11,0 days 00:01:25.057000,12.0,1.0,,,0 days 00:00:23.957000,0 days 00:00:32.062000,0 days 00:00:29.038000,0 days 00:27:55.029000,0 days 00:28:27.091000,0 days 00:28:56.129000,257.0,246.0,285.0,336.0,False,SOFT,11.0,True,Force India,0 days 00:27:31.157000,2018-05-13 13:33:37.981,1,13.0,False,,False,True,0,0
0 days 00:30:20.862000,PER,11,0 days 00:01:24.648000,13.0,1.0,,,0 days 00:00:23.729000,0 days 00:00:31.887000,0 days 00:00:29.032000,0 days 00:29:19.858000,0 days 00:29:51.745000,0 days 00:30:20.777000,,244.0,285.0,334.0,True,SOFT,12.0,True,Force India,0 days 00:28:56.214000,2018-05-13 13:35:03.038,1,13.0,False,,False,True,0,0
0 days 00:31:45.582000,PER,11,0 days 00:01:24.720000,14.0,1.0,,,0 days 00:00:23.542000,0 days 00:00:32.004000,0 days 00:00:29.174000,0 days 00:30:44.319000,0 days 00:31:16.323000,0 days 00:31:45.497000,263.0,241.0,285.0,333.0,False,SOFT,13.0,True,Force India,0 days 00:30:20.862000,2018-05-13 13:36:27.686,1,13.0,False,,False,True,0,0
0 days 00:33:10.840000,PER,11,0 days 00:01:25.258000,15.0,1.0,,,0 days 00:00:23.728000,0 days 00:00:32.348000,0 days 00:00:29.182000,0 days 00:32:09.225000,0 days 00:32:41.573000,0 days 00:33:10.755000,249.0,247.0,278.0,,False,SOFT,14.0,True,Force India,0 days 00:31:45.582000,2018-05-13 13:37:52.406,1,13.0,False,,False,True,0,0
