Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,Overtake,PitStop
0 days 00:34:07.188000,nan,44,0 days 00:01:18.184000,1.0,1.0,0 days 00:05:22.265000,,,0 days 00:00:30.354000,0 days 00:00:27.743000,,0 days 00:33:39.482000,0 days 00:34:07.379000,297.0,238.0,191.0,297.0,False,SOFT,1.0,True,nan,0 days 00:32:48.804000,2020-07-12 13:12:50.826,4,1.0,False,,False,False,0,0
0 days 00:36:12.660000,nan,44,0 days 00:02:05.472000,2.0,1.0,,,0 days 00:00:26.692000,0 days 00:01:03.909000,0 days 00:00:34.871000,0 days 00:34:33.880000,0 days 00:35:37.789000,0 days 00:36:12.660000,147.0,154.0,202.0,134.0,True,SOFT,2.0,True,nan,0 days 00:34:07.188000,2020-07-12 13:14:09.210,4,1.0,False,,False,False,0,0
0 days 00:38:00.260000,nan,44,0 days 00:01:47.600000,3.0,1.0,,,0 days 00:00:27.534000,0 days 00:00:46.844000,0 days 00:00:33.222000,0 days 00:36:40.194000,0 days 00:37:27.038000,0 days 00:38:00.260000,155.0,160.0,274.0,205.0,True,SOFT,3.0,True,nan,0 days 00:36:12.660000,2020-07-12 13:16:14.682,4,1.0,False,,False,False,0,0
0 days 00:39:08.891000,nan,44,0 days 00:01:08.631000,4.0,1.0,,,0 days 00:00:17.314000,0 days 00:00:30.323000,0 days 00:00:20.994000,0 days 00:38:17.574000,0 days 00:38:47.897000,0 days 00:39:08.891000,297.0,234.0,274.0,293.0,True,SOFT,4.0,True,nan,0 days 00:38:00.260000,2020-07-12 13:18:02.282,2,1.0,False,,False,False,0,0
0 days 00:40:17.859000,nan,44,0 days 00:01:08.968000,5.0,1.0,,,0 days 00:00:17.367000,0 days 00:00:30.667000,0 days 00:00:20.934000,0 days 00:39:26.258000,0 days 00:39:56.925000,0 days 00:40:17.859000,287.0,232.0,276.0,285.0,False,SOFT,5.0,True,nan,0 days 00:39:08.891000,2020-07-12 13:19:10.913,1,1.0,False,,False,True,0,0
0 days 00:41:26.756000,nan,44,0 days 00:01:08.897000,6.0,1.0,,,0 days 00:00:17.428000,0 days 00:00:30.488000,0 days 00:00:20.981000,0 days 00:40:35.287000,0 days 00:41:05.775000,0 days 00:41:26.756000,288.0,234.0,274.0,289.0,False,SOFT,6.0,True,nan,0 days 00:40:17.859000,2020-07-12 13:20:19.881,1,1.0,False,,False,True,0,0
0 days 00:42:35.366000,nan,44,0 days 00:01:08.610000,7.0,1.0,,,0 days 00:00:17.317000,0 days 00:00:30.404000,0 days 00:00:20.889000,0 days 00:41:44.073000,0 days 00:42:14.477000,0 days 00:42:35.366000,294.0,235.0,274.0,291.0,True,SOFT,7.0,True,nan,0 days 00:41:26.756000,2020-07-12 13:21:28.778,1,1.0,False,,False,True,0,0
0 days 00:43:43.947000,nan,44,0 days 00:01:08.581000,8.0,1.0,,,0 days 00:00:17.335000,0 days 00:00:30.394000,0 days 00:00:20.852000,0 days 00:42:52.701000,0 days 00:43:23.095000,0 days 00:43:43.947000,295.0,235.0,274.0,290.0,True,SOFT,8.0,True,nan,0 days 00:42:35.366000,2020-07-12 13:22:37.388,1,1.0,False,,False,True,0,0
0 days 00:44:52.792000,nan,44,0 days 00:01:08.845000,9.0,1.0,,,0 days 00:00:17.244000,0 days 00:00:30.775000,0 days 00:00:20.826000,0 days 00:44:01.191000,0 days 00:44:31.966000,0 days 00:44:52.792000,300.0,233.0,272.0,293.0,False,SOFT,9.0,True,nan,0 days 00:43:43.947000,2020-07-12 13:23:45.969,1,1.0,False,,False,True,0,0
0 days 00:46:01.566000,nan,44,0 days 00:01:08.774000,10.0,1.0,,,0 days 00:00:17.409000,0 days 00:00:30.387000,0 days 00:00:20.978000,0 days 00:45:10.201000,0 days 00:45:40.588000,0 days 00:46:01.566000,295.0,235.0,273.0,291.0,False,SOFT,10.0,True,nan,0 days 00:44:52.792000,2020-07-12 13:24:54.814,1,1.0,False,,False,True,0,0
