Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,Overtake,PitStop
0 days 01:03:15.240000,HAM,44,0 days 00:01:23.099000,1.0,1.0,0 days 00:25:37.894000,,,0 days 00:00:40.850000,0 days 00:00:16.994000,,0 days 01:02:58.122000,0 days 01:03:15.232000,318.0,238.0,313.0,237.0,False,MEDIUM,1.0,True,Mercedes,0 days 01:01:51.781000,2021-11-14 17:02:51.791,1,7.0,False,,False,False,0,0
0 days 01:04:30.915000,HAM,44,0 days 00:01:15.675000,2.0,1.0,,,0 days 00:00:19.127000,0 days 00:00:39.451000,0 days 00:00:17.097000,0 days 01:03:34.210000,0 days 01:04:13.661000,0 days 01:04:30.758000,321.0,245.0,325.0,314.0,True,MEDIUM,2.0,True,Mercedes,0 days 01:03:15.240000,2021-11-14 17:04:15.250,1,6.0,False,,False,True,1,0
0 days 01:05:45.169000,HAM,44,0 days 00:01:14.254000,3.0,1.0,,,0 days 00:00:18.781000,0 days 00:00:38.688000,0 days 00:00:16.785000,0 days 01:04:49.539000,0 days 01:05:28.227000,0 days 01:05:45.012000,313.0,234.0,324.0,318.0,True,MEDIUM,3.0,True,Mercedes,0 days 01:04:30.915000,2021-11-14 17:05:30.925,1,5.0,False,,False,True,1,0
0 days 01:06:59.476000,HAM,44,0 days 00:01:14.307000,4.0,1.0,,,0 days 00:00:18.913000,0 days 00:00:38.321000,0 days 00:00:17.073000,0 days 01:06:03.925000,0 days 01:06:42.246000,0 days 01:06:59.319000,299.0,249.0,308.0,304.0,False,MEDIUM,4.0,True,Mercedes,0 days 01:05:45.169000,2021-11-14 17:06:45.179,1,4.0,False,,False,True,1,0
0 days 01:08:13.648000,HAM,44,0 days 00:01:14.172000,5.0,1.0,,,0 days 00:00:19.046000,0 days 00:00:38.191000,0 days 00:00:16.935000,0 days 01:07:18.365000,0 days 01:07:56.556000,0 days 01:08:13.491000,302.0,254.0,305.0,300.0,True,MEDIUM,5.0,True,Mercedes,0 days 01:06:59.476000,2021-11-14 17:07:59.486,1,3.0,False,,False,True,1,0
0 days 01:09:41.249000,HAM,44,0 days 00:01:27.601000,6.0,1.0,,,0 days 00:00:19.163000,0 days 00:00:49.061000,0 days 00:00:19.377000,0 days 01:08:32.654000,0 days 01:09:21.715000,0 days 01:09:41.092000,304.0,199.0,225.0,290.0,False,MEDIUM,6.0,True,Mercedes,0 days 01:08:13.648000,2021-11-14 17:09:13.658,4,3.0,False,,False,False,0,0
0 days 01:11:40.866000,HAM,44,0 days 00:01:59.617000,7.0,1.0,,0 days 01:11:37.672000,0 days 00:00:25.212000,0 days 00:00:59.672000,0 days 00:00:34.733000,0 days 01:10:06.304000,0 days 01:11:05.976000,0 days 01:11:40.709000,153.0,174.0,,226.0,False,MEDIUM,7.0,True,Mercedes,0 days 01:09:41.249000,2021-11-14 17:10:41.259,4,3.0,False,,False,False,0,1
0 days 01:13:52.603000,HAM,44,0 days 00:02:11.737000,8.0,2.0,0 days 01:11:57.067000,0 days 01:13:49.545000,0 days 00:00:39.007000,0 days 00:00:59.808000,0 days 00:00:32.922000,0 days 01:12:19.716000,0 days 01:13:19.524000,0 days 01:13:52.446000,173.0,200.0,,,False,MEDIUM,8.0,False,Mercedes,0 days 01:11:40.866000,2021-11-14 17:12:40.876,4,3.0,False,,False,False,0,1
0 days 01:16:20.230000,HAM,44,0 days 00:02:27.627000,9.0,3.0,0 days 01:14:08.533000,,0 days 00:00:44.815000,0 days 00:01:03.122000,0 days 00:00:39.690000,0 days 01:14:37.261000,0 days 01:15:40.383000,0 days 01:16:20.073000,69.0,105.0,218.0,,False,MEDIUM,9.0,False,Mercedes,0 days 01:13:52.603000,2021-11-14 17:14:52.613,4,5.0,False,,False,False,1,0
0 days 01:17:36.210000,HAM,44,0 days 00:01:15.980000,10.0,3.0,,,0 days 00:00:20.405000,0 days 00:00:38.642000,0 days 00:00:16.933000,0 days 01:16:40.478000,0 days 01:17:19.120000,0 days 01:17:36.053000,314.0,249.0,314.0,275.0,False,MEDIUM,10.0,False,Mercedes,0 days 01:16:20.230000,2021-11-14 17:17:20.240,1,3.0,False,,False,False,1,0
0 days 01:18:50.817000,HAM,44,0 days 00:01:14.607000,11.0,3.0,,,0 days 00:00:19.201000,0 days 00:00:38.516000,0 days 00:00:16.890000,0 days 01:17:55.254000,0 days 01:18:33.770000,0 days 01:18:50.660000,315.0,252.0,315.0,289.0,False,MEDIUM,11.0,False,Mercedes,0 days 01:17:36.210000,2021-11-14 17:18:36.220,1,3.0,False,,False,True,0,0
0 days 01:20:25.800000,HAM,44,0 days 00:01:34.983000,12.0,3.0,,,0 days 00:00:19.198000,0 days 00:00:52.371000,0 days 00:00:23.414000,0 days 01:19:09.858000,0 days 01:20:02.229000,0 days 01:20:25.643000,303.0,184.0,187.0,293.0,False,MEDIUM,12.0,False,Mercedes,0 days 01:18:50.817000,2021-11-14 17:19:50.827,6,3.0,False,,False,False,0,0
0 days 01:22:05.538000,HAM,44,0 days 00:01:39.738000,13.0,3.0,,,0 days 00:00:26.904000,0 days 00:00:49.473000,0 days 00:00:23.361000,0 days 01:20:52.547000,0 days 01:21:42.020000,0 days 01:22:05.381000,222.0,200.0,184.0,189.0,False,MEDIUM,13.0,False,Mercedes,0 days 01:20:25.800000,2021-11-14 17:21:25.810,6,3.0,False,,False,False,0,0
