Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,Overtake,PitStop
0 days 00:35:47.474000,GAS,10,0 days 00:02:20.954000,1.0,1.0,0 days 00:00:03.552000,,,0 days 00:00:48.465000,0 days 00:00:33.649000,,0 days 00:35:13.839000,0 days 00:35:47.574000,177.0,260.0,194.0,192.0,False,WET,5.0,False,AlphaTauri,0 days 00:33:26.325000,2020-11-15 10:13:26.827,2,13.0,False,,False,False,0,0
0 days 00:37:52.137000,GAS,10,0 days 00:02:04.663000,2.0,1.0,,,0 days 00:00:47.278000,0 days 00:00:45.312000,0 days 00:00:32.073000,0 days 00:36:34.707000,0 days 00:37:20.019000,0 days 00:37:52.092000,212.0,265.0,198.0,206.0,True,WET,6.0,False,AlphaTauri,0 days 00:35:47.474000,2020-11-15 10:15:47.976,2,13.0,False,,False,True,0,0
0 days 00:39:53.538000,GAS,10,0 days 00:02:01.401000,3.0,1.0,,,0 days 00:00:45.688000,0 days 00:00:44.278000,0 days 00:00:31.435000,0 days 00:38:37.780000,0 days 00:39:22.058000,0 days 00:39:53.493000,206.0,265.0,206.0,209.0,True,WET,7.0,False,AlphaTauri,0 days 00:37:52.137000,2020-11-15 10:17:52.639,1,13.0,False,,False,True,0,0
0 days 00:41:53.671000,GAS,10,0 days 00:02:00.133000,4.0,1.0,,,0 days 00:00:44.989000,0 days 00:00:43.432000,0 days 00:00:31.712000,0 days 00:40:38.482000,0 days 00:41:21.914000,0 days 00:41:53.626000,216.0,268.0,204.0,197.0,True,WET,8.0,False,AlphaTauri,0 days 00:39:53.538000,2020-11-15 10:19:54.040,1,13.0,False,,False,True,0,0
0 days 00:43:51.956000,GAS,10,0 days 00:01:58.285000,5.0,1.0,,,0 days 00:00:44.292000,0 days 00:00:42.664000,0 days 00:00:31.329000,0 days 00:42:37.918000,0 days 00:43:20.582000,0 days 00:43:51.911000,219.0,268.0,210.0,205.0,True,WET,9.0,False,AlphaTauri,0 days 00:41:53.671000,2020-11-15 10:21:54.173,1,13.0,False,,False,True,0,0
0 days 00:45:48.743000,GAS,10,0 days 00:01:56.787000,6.0,1.0,,,0 days 00:00:43.847000,0 days 00:00:41.880000,0 days 00:00:31.060000,0 days 00:44:35.758000,0 days 00:45:17.638000,0 days 00:45:48.698000,227.0,271.0,209.0,220.0,True,WET,10.0,False,AlphaTauri,0 days 00:43:51.956000,2020-11-15 10:23:52.458,1,13.0,False,,False,True,0,0
0 days 00:47:44.883000,GAS,10,0 days 00:01:56.140000,7.0,1.0,,,0 days 00:00:43.666000,0 days 00:00:41.420000,0 days 00:00:31.054000,0 days 00:46:32.364000,0 days 00:47:13.784000,0 days 00:47:44.838000,226.0,270.0,213.0,232.0,True,WET,11.0,False,AlphaTauri,0 days 00:45:48.743000,2020-11-15 10:25:49.245,1,13.0,False,,False,True,0,0
0 days 00:49:41.799000,GAS,10,0 days 00:01:56.916000,8.0,1.0,,,0 days 00:00:43.239000,0 days 00:00:41.881000,0 days 00:00:31.796000,0 days 00:48:28.077000,0 days 00:49:09.958000,0 days 00:49:41.754000,212.0,273.0,211.0,237.0,False,WET,12.0,False,AlphaTauri,0 days 00:47:44.883000,2020-11-15 10:27:45.385,1,12.0,False,,False,True,1,0
0 days 00:51:34.554000,GAS,10,0 days 00:01:52.755000,9.0,1.0,,,0 days 00:00:42.229000,0 days 00:00:40.164000,0 days 00:00:30.362000,0 days 00:50:23.983000,0 days 00:51:04.147000,0 days 00:51:34.509000,234.0,267.0,217.0,235.0,True,WET,13.0,False,AlphaTauri,0 days 00:49:41.799000,2020-11-15 10:29:42.301,1,9.0,False,,False,True,1,0
0 days 00:53:27.253000,GAS,10,0 days 00:01:52.699000,10.0,1.0,,0 days 00:53:26.681000,0 days 00:00:41.899000,0 days 00:00:39.682000,0 days 00:00:31.118000,0 days 00:52:16.408000,0 days 00:52:56.090000,0 days 00:53:27.208000,235.0,270.0,,230.0,False,WET,14.0,False,AlphaTauri,0 days 00:51:34.554000,2020-11-15 10:31:35.056,1,9.0,False,,False,False,0,1
0 days 00:55:35.263000,GAS,10,0 days 00:02:08.010000,11.0,2.0,0 days 00:53:50.405000,,0 days 00:00:59.676000,0 days 00:00:38.653000,0 days 00:00:29.681000,0 days 00:54:26.884000,0 days 00:55:05.537000,0 days 00:55:35.218000,235.0,275.0,218.0,225.0,False,INTERMEDIATE,1.0,True,AlphaTauri,0 days 00:53:27.253000,2020-11-15 10:33:27.755,1,15.0,False,,False,False,1,0
0 days 00:57:22.493000,GAS,10,0 days 00:01:47.230000,12.0,2.0,,,0 days 00:00:40.470000,0 days 00:00:37.795000,0 days 00:00:28.965000,0 days 00:56:15.688000,0 days 00:56:53.483000,0 days 00:57:22.448000,241.0,276.0,223.0,240.0,True,INTERMEDIATE,2.0,True,AlphaTauri,0 days 00:55:35.263000,2020-11-15 10:35:35.765,2,15.0,False,,False,True,0,0
0 days 00:59:27.035000,GAS,10,0 days 00:02:04.542000,13.0,2.0,,,0 days 00:00:40.556000,0 days 00:00:47.968000,0 days 00:00:36.018000,0 days 00:58:03.004000,0 days 00:58:50.972000,0 days 00:59:26.990000,217.0,247.0,202.0,181.0,False,INTERMEDIATE,3.0,True,AlphaTauri,0 days 00:57:22.493000,2020-11-15 10:37:22.995,26,15.0,False,,False,False,0,0
0 days 01:01:32.254000,GAS,10,0 days 00:02:05.219000,14.0,2.0,,,0 days 00:00:44.675000,0 days 00:00:47.705000,0 days 00:00:32.839000,0 days 01:00:11.665000,0 days 01:00:59.370000,0 days 01:01:32.209000,210.0,249.0,217.0,206.0,False,INTERMEDIATE,4.0,True,AlphaTauri,0 days 00:59:27.035000,2020-11-15 10:39:27.537,67,15.0,False,,False,False,0,0
0 days 01:03:21.949000,GAS,10,0 days 00:01:49.695000,15.0,2.0,,,0 days 00:00:41.442000,0 days 00:00:38.514000,0 days 00:00:29.739000,0 days 01:02:13.651000,0 days 01:02:52.165000,0 days 01:03:21.904000,236.0,276.0,216.0,232.0,False,INTERMEDIATE,5.0,True,AlphaTauri,0 days 01:01:32.254000,2020-11-15 10:41:32.756,1,15.0,False,,False,True,0,0
0 days 01:05:11.025000,GAS,10,0 days 00:01:49.076000,16.0,2.0,,,0 days 00:00:41.674000,0 days 00:00:38.060000,0 days 00:00:29.342000,0 days 01:04:03.578000,0 days 01:04:41.638000,0 days 01:05:10.980000,,275.0,222.0,230.0,False,INTERMEDIATE,6.0,True,AlphaTauri,0 days 01:03:21.949000,2020-11-15 10:43:22.451,1,14.0,False,,False,True,1,0
0 days 01:06:57.580000,GAS,10,0 days 00:01:46.555000,17.0,2.0,,,0 days 00:00:40.696000,0 days 00:00:37.206000,0 days 00:00:28.653000,0 days 01:05:51.676000,0 days 01:06:28.882000,0 days 01:06:57.535000,249.0,278.0,225.0,231.0,True,INTERMEDIATE,7.0,True,AlphaTauri,0 days 01:05:11.025000,2020-11-15 10:45:11.527,2,14.0,False,,False,True,0,0
0 days 01:08:43.482000,GAS,10,0 days 00:01:45.902000,18.0,2.0,,,0 days 00:00:39.946000,0 days 00:00:37.041000,0 days 00:00:28.915000,0 days 01:07:37.481000,0 days 01:08:14.522000,0 days 01:08:43.437000,,279.0,225.0,236.0,True,INTERMEDIATE,8.0,True,AlphaTauri,0 days 01:06:57.580000,2020-11-15 10:46:58.082,2,14.0,False,,False,True,0,0
0 days 01:10:30.600000,GAS,10,0 days 00:01:47.118000,19.0,2.0,,,0 days 00:00:40.123000,0 days 00:00:37.624000,0 days 00:00:29.371000,0 days 01:09:23.560000,0 days 01:10:01.184000,0 days 01:10:30.555000,234.0,281.0,225.0,231.0,False,INTERMEDIATE,9.0,True,AlphaTauri,0 days 01:08:43.482000,2020-11-15 10:48:43.984,1,14.0,False,,False,True,0,0
0 days 01:12:16.069000,GAS,10,0 days 00:01:45.469000,20.0,2.0,,,0 days 00:00:39.908000,0 days 00:00:36.826000,0 days 00:00:28.735000,0 days 01:11:10.463000,0 days 01:11:47.289000,0 days 01:12:16.024000,244.0,279.0,226.0,252.0,True,INTERMEDIATE,10.0,True,AlphaTauri,0 days 01:10:30.600000,2020-11-15 10:50:31.102,1,14.0,False,,False,True,0,0
0 days 01:14:00.878000,GAS,10,0 days 00:01:44.809000,21.0,2.0,,,0 days 00:00:39.398000,0 days 00:00:36.819000,0 days 00:00:28.592000,0 days 01:12:55.422000,0 days 01:13:32.241000,0 days 01:14:00.833000,254.0,278.0,228.0,255.0,True,INTERMEDIATE,11.0,True,AlphaTauri,0 days 01:12:16.069000,2020-11-15 10:52:16.571,2,14.0,False,,False,True,0,0
0 days 01:15:45.357000,GAS,10,0 days 00:01:44.479000,22.0,2.0,,,0 days 00:00:39.451000,0 days 00:00:36.465000,0 days 00:00:28.563000,0 days 01:14:40.284000,0 days 01:15:16.749000,0 days 01:15:45.312000,256.0,280.0,229.0,250.0,True,INTERMEDIATE,12.0,True,AlphaTauri,0 days 01:14:00.878000,2020-11-15 10:54:01.380,1,14.0,False,,False,True,0,0
