Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,Overtake,PitStop
0 days 00:35:31.043000,GAS,10,0 days 00:01:52.851000,1.0,1.0,0 days 00:00:04.011000,,,0 days 00:00:43.282000,0 days 00:00:36.885000,,0 days 00:34:54.292000,0 days 00:35:31.152000,177.0,169.0,200.0,318.0,False,SUPERSOFT,1.0,True,Toro Rosso,0 days 00:33:38.006000,2018-10-21 18:13:38.071,2,14.0,False,,False,False,0,0
0 days 00:37:16.552000,GAS,10,0 days 00:01:45.509000,2.0,1.0,,,0 days 00:00:28.895000,0 days 00:00:41.218000,0 days 00:00:35.396000,0 days 00:35:59.930000,0 days 00:36:41.148000,0 days 00:37:16.544000,194.0,174.0,199.0,309.0,True,SUPERSOFT,2.0,True,Toro Rosso,0 days 00:35:31.043000,2018-10-21 18:15:31.108,1,15.0,False,,False,True,1,0
0 days 00:39:01.421000,GAS,10,0 days 00:01:44.869000,3.0,1.0,,,0 days 00:00:27.912000,0 days 00:00:41.315000,0 days 00:00:35.642000,0 days 00:37:44.456000,0 days 00:38:25.771000,0 days 00:39:01.413000,202.0,170.0,197.0,330.0,True,SUPERSOFT,3.0,True,Toro Rosso,0 days 00:37:16.552000,2018-10-21 18:17:16.617,2,15.0,False,,False,True,0,0
0 days 00:40:46.523000,GAS,10,0 days 00:01:45.102000,4.0,1.0,,,0 days 00:00:28.886000,0 days 00:00:41.256000,0 days 00:00:34.960000,0 days 00:39:30.299000,0 days 00:40:11.555000,0 days 00:40:46.515000,204.0,170.0,199.0,307.0,False,SUPERSOFT,4.0,True,Toro Rosso,0 days 00:39:01.421000,2018-10-21 18:19:01.486,1,16.0,False,,False,True,1,0
0 days 00:42:30.182000,GAS,10,0 days 00:01:43.659000,5.0,1.0,,,0 days 00:00:27.593000,0 days 00:00:41.366000,0 days 00:00:34.700000,0 days 00:41:14.108000,0 days 00:41:55.474000,0 days 00:42:30.174000,,171.0,199.0,305.0,True,SUPERSOFT,5.0,True,Toro Rosso,0 days 00:40:46.523000,2018-10-21 18:20:46.588,1,16.0,False,,False,True,0,0
0 days 00:44:14.110000,GAS,10,0 days 00:01:43.928000,6.0,1.0,,,0 days 00:00:27.631000,0 days 00:00:41.239000,0 days 00:00:35.058000,0 days 00:42:57.805000,0 days 00:43:39.044000,0 days 00:44:14.102000,202.0,170.0,199.0,322.0,False,SUPERSOFT,6.0,True,Toro Rosso,0 days 00:42:30.182000,2018-10-21 18:22:30.247,1,16.0,False,,False,True,0,0
0 days 00:45:57.758000,GAS,10,0 days 00:01:43.648000,7.0,1.0,,,0 days 00:00:27.715000,0 days 00:00:40.995000,0 days 00:00:34.938000,0 days 00:44:41.817000,0 days 00:45:22.812000,0 days 00:45:57.750000,198.0,175.0,199.0,319.0,True,SUPERSOFT,7.0,True,Toro Rosso,0 days 00:44:14.110000,2018-10-21 18:24:14.175,1,16.0,False,,False,True,0,0
0 days 00:47:41.825000,GAS,10,0 days 00:01:44.067000,8.0,1.0,,,0 days 00:00:27.712000,0 days 00:00:41.372000,0 days 00:00:34.983000,0 days 00:46:25.462000,0 days 00:47:06.834000,0 days 00:47:41.817000,186.0,175.0,201.0,325.0,False,SUPERSOFT,8.0,True,Toro Rosso,0 days 00:45:57.758000,2018-10-21 18:25:57.823,1,16.0,False,,False,True,0,0
0 days 00:49:25.761000,GAS,10,0 days 00:01:43.936000,9.0,1.0,,,0 days 00:00:27.680000,0 days 00:00:41.334000,0 days 00:00:34.922000,0 days 00:48:09.497000,0 days 00:48:50.831000,0 days 00:49:25.753000,200.0,176.0,199.0,297.0,False,SUPERSOFT,9.0,True,Toro Rosso,0 days 00:47:41.825000,2018-10-21 18:27:41.890,2,15.0,False,,False,True,1,0
0 days 00:51:21.093000,GAS,10,0 days 00:01:55.332000,10.0,1.0,,0 days 00:51:20.085000,0 days 00:00:27.381000,0 days 00:00:46.320000,0 days 00:00:41.631000,0 days 00:49:53.134000,0 days 00:50:39.454000,0 days 00:51:21.085000,195.0,93.0,,267.0,False,SUPERSOFT,10.0,True,Toro Rosso,0 days 00:49:25.761000,2018-10-21 18:29:25.826,26,14.0,False,,False,False,1,1
0 days 00:53:46.268000,GAS,10,0 days 00:02:25.175000,11.0,2.0,0 days 00:51:44.039000,,0 days 00:00:53.435000,0 days 00:00:55.847000,0 days 00:00:35.893000,0 days 00:52:14.520000,0 days 00:53:10.367000,0 days 00:53:46.260000,133.0,171.0,201.0,257.0,False,SOFT,1.0,True,Toro Rosso,0 days 00:51:21.093000,2018-10-21 18:31:21.158,67,15.0,False,,False,False,1,0
0 days 00:55:27.022000,GAS,10,0 days 00:01:40.754000,12.0,2.0,,,0 days 00:00:27.022000,0 days 00:00:40.322000,0 days 00:00:33.410000,0 days 00:54:13.282000,0 days 00:54:53.604000,0 days 00:55:27.014000,217.0,178.0,201.0,302.0,True,SOFT,2.0,True,Toro Rosso,0 days 00:53:46.268000,2018-10-21 18:33:46.333,1,15.0,False,,False,True,0,0
0 days 00:57:08.182000,GAS,10,0 days 00:01:41.160000,13.0,2.0,,,0 days 00:00:27.037000,0 days 00:00:40.389000,0 days 00:00:33.734000,0 days 00:55:54.051000,0 days 00:56:34.440000,0 days 00:57:08.174000,210.0,179.0,200.0,301.0,False,SOFT,3.0,True,Toro Rosso,0 days 00:55:27.022000,2018-10-21 18:35:27.087,1,15.0,False,,False,True,0,0
0 days 00:58:49.776000,GAS,10,0 days 00:01:41.594000,14.0,2.0,,,0 days 00:00:27.071000,0 days 00:00:40.474000,0 days 00:00:34.049000,0 days 00:57:35.245000,0 days 00:58:15.719000,0 days 00:58:49.768000,206.0,180.0,199.0,302.0,False,SOFT,4.0,True,Toro Rosso,0 days 00:57:08.182000,2018-10-21 18:37:08.247,1,15.0,False,,False,True,0,0
0 days 01:00:31.567000,GAS,10,0 days 00:01:41.791000,15.0,2.0,,,0 days 00:00:27.286000,0 days 00:00:40.501000,0 days 00:00:34.004000,0 days 00:59:17.054000,0 days 00:59:57.555000,0 days 01:00:31.559000,211.0,182.0,198.0,294.0,False,SOFT,5.0,True,Toro Rosso,0 days 00:58:49.776000,2018-10-21 18:38:49.841,1,15.0,False,,False,True,0,0
0 days 01:02:13.728000,GAS,10,0 days 00:01:42.161000,16.0,2.0,,,0 days 00:00:27.062000,0 days 00:00:40.833000,0 days 00:00:34.266000,0 days 01:00:58.621000,0 days 01:01:39.454000,0 days 01:02:13.720000,217.0,180.0,198.0,299.0,False,SOFT,6.0,True,Toro Rosso,0 days 01:00:31.567000,2018-10-21 18:40:31.632,1,15.0,False,,False,True,0,0
0 days 01:03:55.872000,GAS,10,0 days 00:01:42.144000,17.0,2.0,,,0 days 00:00:27.158000,0 days 00:00:40.754000,0 days 00:00:34.232000,0 days 01:02:40.878000,0 days 01:03:21.632000,0 days 01:03:55.864000,210.0,180.0,197.0,302.0,False,SOFT,7.0,True,Toro Rosso,0 days 01:02:13.728000,2018-10-21 18:42:13.793,1,15.0,False,,False,True,0,0
0 days 01:05:38.083000,GAS,10,0 days 00:01:42.211000,18.0,2.0,,,0 days 00:00:27.438000,0 days 00:00:40.518000,0 days 00:00:34.255000,0 days 01:04:23.302000,0 days 01:05:03.820000,0 days 01:05:38.075000,,181.0,201.0,307.0,False,SOFT,8.0,True,Toro Rosso,0 days 01:03:55.872000,2018-10-21 18:43:55.937,1,15.0,False,,False,True,0,0
0 days 01:07:20.332000,GAS,10,0 days 00:01:42.249000,19.0,2.0,,,0 days 00:00:27.360000,0 days 00:00:40.581000,0 days 00:00:34.308000,0 days 01:06:05.435000,0 days 01:06:46.016000,0 days 01:07:20.324000,207.0,179.0,202.0,305.0,False,SOFT,9.0,True,Toro Rosso,0 days 01:05:38.083000,2018-10-21 18:45:38.148,1,15.0,False,,False,True,0,0
0 days 01:09:03.167000,GAS,10,0 days 00:01:42.835000,20.0,2.0,,,0 days 00:00:27.308000,0 days 00:00:40.856000,0 days 00:00:34.671000,0 days 01:07:47.632000,0 days 01:08:28.488000,0 days 01:09:03.159000,210.0,179.0,201.0,304.0,False,SOFT,10.0,True,Toro Rosso,0 days 01:07:20.332000,2018-10-21 18:47:20.397,1,15.0,False,,False,True,0,0
0 days 01:10:45.728000,GAS,10,0 days 00:01:42.561000,21.0,2.0,,,0 days 00:00:27.275000,0 days 00:00:40.772000,0 days 00:00:34.514000,0 days 01:09:30.434000,0 days 01:10:11.206000,0 days 01:10:45.720000,206.0,179.0,200.0,302.0,False,SOFT,11.0,True,Toro Rosso,0 days 01:09:03.167000,2018-10-21 18:49:03.232,1,15.0,False,,False,True,0,0
0 days 01:12:28.337000,GAS,10,0 days 00:01:42.609000,22.0,2.0,,,0 days 00:00:27.433000,0 days 00:00:40.588000,0 days 00:00:34.588000,0 days 01:11:13.153000,0 days 01:11:53.741000,0 days 01:12:28.329000,203.0,177.0,201.0,308.0,False,SOFT,12.0,True,Toro Rosso,0 days 01:10:45.728000,2018-10-21 18:50:45.793,1,15.0,False,,False,True,0,0
0 days 01:14:12.007000,GAS,10,0 days 00:01:43.670000,23.0,2.0,,,0 days 00:00:27.310000,0 days 00:00:41.070000,0 days 00:00:35.290000,0 days 01:12:55.639000,0 days 01:13:36.709000,0 days 01:14:11.999000,207.0,174.0,203.0,310.0,False,SOFT,13.0,True,Toro Rosso,0 days 01:12:28.337000,2018-10-21 18:52:28.402,1,15.0,False,,False,True,0,0
0 days 01:15:54.302000,GAS,10,0 days 00:01:42.295000,24.0,2.0,,,0 days 00:00:27.171000,0 days 00:00:40.710000,0 days 00:00:34.414000,0 days 01:14:39.170000,0 days 01:15:19.880000,0 days 01:15:54.294000,205.0,178.0,203.0,306.0,False,SOFT,14.0,True,Toro Rosso,0 days 01:14:12.007000,2018-10-21 18:54:12.072,1,15.0,False,,False,True,0,0
0 days 01:17:38.059000,GAS,10,0 days 00:01:43.757000,25.0,2.0,,,0 days 00:00:27.411000,0 days 00:00:41.094000,0 days 00:00:35.252000,0 days 01:16:21.705000,0 days 01:17:02.799000,0 days 01:17:38.051000,207.0,178.0,201.0,310.0,False,SOFT,15.0,True,Toro Rosso,0 days 01:15:54.302000,2018-10-21 18:55:54.367,1,15.0,False,,False,True,0,0
0 days 01:19:20.809000,GAS,10,0 days 00:01:42.750000,26.0,2.0,,,0 days 00:00:27.369000,0 days 00:00:40.845000,0 days 00:00:34.536000,0 days 01:18:05.420000,0 days 01:18:46.265000,0 days 01:19:20.801000,203.0,179.0,202.0,307.0,False,SOFT,16.0,True,Toro Rosso,0 days 01:17:38.059000,2018-10-21 18:57:38.124,1,14.0,False,,False,True,1,0
0 days 01:21:04.067000,GAS,10,0 days 00:01:43.258000,27.0,2.0,,,0 days 00:00:27.371000,0 days 00:00:40.939000,0 days 00:00:34.948000,0 days 01:19:48.172000,0 days 01:20:29.111000,0 days 01:21:04.059000,206.0,179.0,201.0,309.0,False,SOFT,17.0,True,Toro Rosso,0 days 01:19:20.809000,2018-10-21 18:59:20.874,1,14.0,False,,False,True,0,0
0 days 01:22:47.884000,GAS,10,0 days 00:01:43.817000,28.0,2.0,,,0 days 00:00:28.367000,0 days 00:00:41.099000,0 days 00:00:34.351000,0 days 01:21:32.426000,0 days 01:22:13.525000,0 days 01:22:47.876000,200.0,178.0,203.0,303.0,False,SOFT,18.0,True,Toro Rosso,0 days 01:21:04.067000,2018-10-21 19:01:04.132,1,14.0,False,,False,True,0,0
0 days 01:24:30.114000,GAS,10,0 days 00:01:42.230000,29.0,2.0,,,0 days 00:00:27.145000,0 days 00:00:40.627000,0 days 00:00:34.458000,0 days 01:23:15.021000,0 days 01:23:55.648000,0 days 01:24:30.106000,208.0,181.0,202.0,306.0,False,SOFT,19.0,True,Toro Rosso,0 days 01:22:47.884000,2018-10-21 19:02:47.949,1,14.0,False,,False,True,0,0
